,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,鸡 你 太 美 官 方 M V,https://www.bilibili.com/video/BV178411Y7QB,哦呼w,0,7612982,11696,616397,1030625,0,300529,438741
1,《原神》角色演示-「纳西妲：无垠无忧」,https://www.bilibili.com/video/BV1PP4y1U7qA,原神,0,2572172,29463,225196,342235,0,138996,81873
2,看完10月新番，爽得我当场打开了剪辑软件！【泛式】,https://www.bilibili.com/video/BV1SD4y1b7oq,泛式,0,1939482,11896,194026,299060,0,13128,67542
3,我叫柯蓝，是附近有名的名蒸蛋（3）,https://www.bilibili.com/video/BV1HP411P7uP,高斯Goh,0,1971482,14966,63556,215713,0,5429,34286
4,我都看不出来自己在做科普,https://www.bilibili.com/video/BV1se411G7LP,无穷小亮的科普日常,0,1548796,839,18430,285601,0,6930,18020
5,公开处刑！第一次见家长，岳父课堂上放我视频...,https://www.bilibili.com/video/BV1KK411S7iD,三十六贱笑,0,1146603,14213,183055,184514,0,22234,32946
6,论一个Bbox全国冠军用嘴巴模仿歌曲有多像,https://www.bilibili.com/video/BV1te4y147QZ,是删青啊,0,1499197,1243,14678,240485,0,5520,27281
7,店里敢卖500一只的鸡，自己在家做，能省多少钱？,https://www.bilibili.com/video/BV1WG4y1h7Tt,绵羊料理,0,1992453,13130,71952,210203,0,4111,19048
8,你这个人太……,https://www.bilibili.com/video/BV1ft4y1T7JW,田花花,0,1623472,716,3563,246928,0,11420,15959
9,《当代互联网现状》,https://www.bilibili.com/video/BV13e411G7a1,女孩为何穿短裙,0,2160441,6055,109226,275176,0,65076,73893
10,【何同学】快充伤电池？40部手机两年实验，告诉你最佳充电方式,https://www.bilibili.com/video/BV1X8411e7EJ,老师好我叫何同学,0,7227848,32741,1325792,1217783,0,110833,352553
11,100斤vs200斤，究极自律一周，他们居然…【第二期】,https://www.bilibili.com/video/BV1jG411A7Vk,徐大虾咯,0,1800922,16948,77112,247844,0,3658,25437
12,【才浅手工】我把巨大的打火石做成了唐刀！实现电影动漫里的炫酷特效,https://www.bilibili.com/video/BV1RK411U7PQ,才疏学浅的才浅,0,1426359,5084,92633,155709,0,5611,21849
13,和好友换装后，我疯了！,https://www.bilibili.com/video/BV1GD4y187wt,花少北丶,0,955691,15219,74681,137908,0,8562,26750
14,《瑶O瑶O的奇妙冒险》,https://www.bilibili.com/video/BV1BK411U7Dr,瑶生Y,0,1168812,930,30012,183063,0,17412,18909
15,帮手× 黑手√,https://www.bilibili.com/video/BV1ZG411w7Wj,老番茄,0,2601003,20329,185831,338608,0,24245,85570
16,化妆真开心……,https://www.bilibili.com/video/BV1kD4y1b76e,大聪明小番茄,0,1404656,3339,28530,168059,0,17031,18648
17,【全网最细，不细抽我】我算出了阿尼亚的家有多大？b站第一人,https://www.bilibili.com/video/BV14e4y127gP,最上川下山,0,2029557,2257,49649,256110,0,8171,35548
18,这是人类能完成的操作？？4,https://www.bilibili.com/video/BV1b8411Y7gW,FoFTG,0,1361124,6781,23787,168209,0,1123,34041
19,五杀挑战世界纪录：1分19秒！掌控命运的人只能是我自己！！,https://www.bilibili.com/video/BV1s14y1L74r,布锅锅,0,3521641,10994,103717,298854,0,28083,34896
20,🐓鸡你太美，但是团体版🐓【J-wings】,https://www.bilibili.com/video/BV11e4y1e7CY,汤姆的混乱空间,0,3368199,11036,297287,442655,0,101306,129049
21,画一幅画纪念童年时期最爱的电影和角色,https://www.bilibili.com/video/BV1BD4y1b7os,画小人的罗元,0,592578,264,8670,177250,0,1899,25627
22,NASA、纳粹、麻省理工，火箭为何从东方升起？【钱学森上】【正经比比】,https://www.bilibili.com/video/BV1u14y1L7wg,阿Test正经比比,0,1299392,3994,53742,85919,0,4431,32464
23,有妖气即将关停，是时候说再见了。 - 谨以此纪念，一个时代的落幕。,https://www.bilibili.com/video/BV1Km4y1c7bW,天师道的白山正,0,1612457,6201,22217,122658,0,10895,23103
24,无所谓，亚托克斯会出手,https://www.bilibili.com/video/BV1ne411G7XP,_再无相思寄巫山_,0,1520375,1218,38186,108983,0,38804,33420
25,"2008,为什么让我们如此难忘?",https://www.bilibili.com/video/BV1Gg411h7rj,百万剪辑狮,0,2223362,8698,155721,294504,0,38425,106405
26,国崩大人用过的吸管,https://www.bilibili.com/video/BV1t8411Y75k,illegallll,0,684387,735,18017,109577,0,12009,39761
27,听歌吗？奶茶分你一半💜,https://www.bilibili.com/video/BV1JG4y1b7Ni,河野华,0,856347,404,15060,115529,0,3223,20999
28,小僵尸出没！ε-(´∀｀; )神的随波逐流～,https://www.bilibili.com/video/BV1Xe411G7t4,凛子同学提不起劲,0,925618,223,17926,94153,0,4431,30771
29,内讧？卢俊义大骂宋江「黑矮无能」！《水浒传》P44,https://www.bilibili.com/video/BV1tW4y1j7u5,木鱼水心,0,651931,10061,73324,93657,0,1265,14451
30,《明日方舟》2022「音律联觉-灯下定影」幕后制作记录,https://www.bilibili.com/video/BV1h14y1L7UV,明日方舟,0,602561,842,48419,85771,0,10753,13749
31,中华面点博大精深，比醒狮酥还难、让老外目瞪口呆的传统手艺是什么样？,https://www.bilibili.com/video/BV1me4y1475b,张虎-中式面点,0,1089133,1693,10933,159526,0,1016,10478
32,兄弟们，今天砍谁？,https://www.bilibili.com/video/BV1L84y1i7oz,猛男舞团IconX,0,1029803,1673,32330,125887,0,2557,7045
33,恐怖片气氛到位了，演员是谁并不重要了…,https://www.bilibili.com/video/BV1i84y1i7cx,快乐冲浪指南,0,2136573,3446,14965,167914,0,102733,39628
34,无所谓，我会出手！,https://www.bilibili.com/video/BV178411Y7hF,KKOMDA,0,798006,1778,24178,95941,0,7925,18687
35,前排围观！东风快递员T台秀来了,https://www.bilibili.com/video/BV1yt4y1T7Xc,东部战区,0,854288,5630,21506,136810,0,8663,10375
36,新概念探店，人均1888元的素食餐厅？？？【第三期】,https://www.bilibili.com/video/BV1eY411f7Hu,雨哥到处跑,0,880161,4628,25445,127740,0,1453,6601
37,你有过这样尴尬的经历吗,https://www.bilibili.com/video/BV1QW4y1E71j,Jsen江,0,2858053,275,721,138221,0,930,4020
38,电子监听、全国断网，棱镜门背后，中国如何从末路狂奔到世界之巅,https://www.bilibili.com/video/BV1i14y157YV,温竣岩,0,2278630,20453,265138,260916,0,46285,152357
39,价格虚高、制作违规、虚假宣传…Omakase高大上背后的乱象,https://www.bilibili.com/video/BV1Lm4y1c7Z7,赛雷话金,0,2048197,13784,25626,140148,0,11771,18276
40,“凝光大人，你看他的眼神…可说不上清白”,https://www.bilibili.com/video/BV1Vv4y1D7me,长野原宵受,0,1137015,2243,42284,98183,0,22943,44117
41,不敢说的人，把这个视频外放,https://www.bilibili.com/video/BV19e4y127Yz,七颗猩猩QKXX,0,921627,432,2043,133871,0,4725,6864
42,有些人，生来就是享受生活的,https://www.bilibili.com/video/BV1Re4y127YY,极限游戏俱乐部,0,635932,991,2984,96751,0,2281,22170
43,打开这个视频让你爽一天,https://www.bilibili.com/video/BV1f14y157yG,阿星and阿奇,0,2135765,164,2041,63206,0,311,22536
44,【盾山-梦圆繁星】形象首曝！王者荣耀携手新华社快看，一起为梦天舱喝彩！,https://www.bilibili.com/video/BV18P411A73i,王者荣耀,0,1427705,2422,8386,101109,0,14894,6945
45,广东人的家庭关系有多复杂？,https://www.bilibili.com/video/BV1fR4y1Q7DR,粤知一二,0,1192173,1346,2373,137042,0,1539,7548
46,新人up大一第一次30s动画作业,https://www.bilibili.com/video/BV1uP4y1m73P,狐肆乱又在胡思乱想,0,479827,192,14561,117075,0,1577,18779
47,帽子尺寸买错了，我戴有点小，我们家猫戴刚刚好,https://www.bilibili.com/video/BV1bD4y1b7RE,咻咻崽汁,0,866459,179,2292,114457,0,11741,16603
48,拍个跳绳还不简单,https://www.bilibili.com/video/BV1dK411U7j9,小叮当的一家,0,1118151,312,1852,132078,0,939,3751
49,《二胡锯木头》,https://www.bilibili.com/video/BV1Vv4y1D75T,DDREAM゜,0,807518,70,4036,91932,0,951,27997
50,《原神3.2战前宣言》,https://www.bilibili.com/video/BV1zP411P7L9,企鹅带带北极熊,0,656871,2309,29078,68713,0,9816,17678
51,【求求】对食文学：太监是没根的东西，受不住「情」,https://www.bilibili.com/video/BV1HR4y1Q7u6,求求扣扣困困,0,1877277,4426,86404,199961,0,30091,56483
52,《我肯定在几百年前就不爱学习》,https://www.bilibili.com/video/BV1914y157ML,AB鲜,0,3856160,4160,176111,418398,0,40764,102763
53,全国漂流半年的相机会拍出怎样的照片？(上),https://www.bilibili.com/video/BV1EK411U7uU,-LKs-,0,758090,2908,24413,71227,0,12571,8833
54,老婆：你现在都玩这么变态的吗！？,https://www.bilibili.com/video/BV1ce411G7XR,麟宣森,0,7823933,19111,1482520,1484954,0,21314,256672
55,原 切 猪 肉 & 整 切 花 卷,https://www.bilibili.com/video/BV1jD4y1b7TF,魔鬼厨房Neo,0,837376,603,3243,96262,0,4075,12430
56,我的车被砸了，我是这样处理的。,https://www.bilibili.com/video/BV1PG411A7ko,艾瑞课,0,1039459,3609,36841,71014,0,1040,6949
57,爱 情 最 强 王 者,https://www.bilibili.com/video/BV1XG4y1h7ps,王七叶-,0,970187,635,2912,113051,0,2008,4454
58,FIRST FRAME单元宣言短片《我的朋友》,https://www.bilibili.com/video/BV1UK411U7B3,FIRST影展,0,257655,46965,34669,39871,0,18809,22484
59,【STN快报6.5季11】神谷英树提出一小时一千块，被一女性拒绝,https://www.bilibili.com/video/BV1TG411A7vq,STN工作室,0,771548,9218,33777,65497,0,1566,10565
60,“喜欢这种氛围感，雨声很大内心却很平静～”,https://www.bilibili.com/video/BV1dR4y1Q7vZ,咕咕啊啊咕,0,426664,461,6226,96570,0,4295,32685
61,猫猫怎么可以这么倒霉！,https://www.bilibili.com/video/BV15P4y1m7r9,戒喵中心,0,1157923,623,1745,109381,0,10351,11288
62,王老菊教你断剑奇侠（第二季03）- 剑冢舞王！,https://www.bilibili.com/video/BV12g411z78Z,怕上火暴王老菊,0,559021,10970,50171,47381,0,2491,14731
63,我说一句男人至死是少年，应该不过分吧.....,https://www.bilibili.com/video/BV1Cd4y1k7Eg,赖活青年,0,1639428,186,423,105216,0,291,4764
64,《二 次 元 牛 逼 导 航》,https://www.bilibili.com/video/BV1Eg41167yQ,绫人太太啊,0,984211,2421,30838,133880,0,7296,16555
65,《 创 新 蟹 黄 汤 包 》,https://www.bilibili.com/video/BV1Ye4y127rb,记录生活的蛋黄派,0,972687,4522,21334,121195,0,776,5385
66,央美学长帮你挑衣服，不要拉倒（doge,https://www.bilibili.com/video/BV1Ue4y1e7SF,晓观队长,0,1161931,2038,34289,84297,0,7294,77222
67,【阿斗】又死一个主角，温柔贤良瑟曦登顶巅峰！美剧史诗巨作《权力的游戏》第16期,https://www.bilibili.com/video/BV1yd4y1k7Np,阿斗归来了,0,582931,5985,49793,69889,0,712,7691
68,lovepotion,https://www.bilibili.com/video/BV1A8411Y7Tr,蜡笔巴拉巴拉新,0,1347975,729,18369,70953,0,2103,12282
69,鲁豫，这次洗白了吗？【飘飘】,https://www.bilibili.com/video/BV1rV4y1g7LE,柳飘飘了吗,0,1107495,4870,15594,63508,0,3096,8794
70,生 日 当 天 结 婚 啦 ！！,https://www.bilibili.com/video/BV1Wm4y1F7FF,伢伢gagako,0,1033791,1203,17224,72601,0,719,7281
71,【昏黑造船厂400杀】摆完挂机 简单好抄,https://www.bilibili.com/video/BV1zP4y1m7AC,萧然Q,0,852918,2336,31892,50252,0,3809,9854
72,学姐也会恋爱告急？！！,https://www.bilibili.com/video/BV1kd4y1k7g3,兔总裁s,0,1671491,2087,12122,60985,0,4739,34532
73,《原神》自制角色演示-「纳西妲：白草净华」,https://www.bilibili.com/video/BV12t4y1T7WJ,影度SDG,0,918647,1984,14271,77925,0,8549,8340
74,这就是传说中的黑色黄金吗？,https://www.bilibili.com/video/BV1nV4y1G7k7,南翔不爱吃饭,0,5256112,4258,164155,488358,0,3072,109961
75,【水果猎人】原神热门水果鉴定,https://www.bilibili.com/video/BV1Zm4y1w7PG,水果猎人杨晓洋,0,1910440,4365,10626,243378,0,7084,16428
76,“她说了一句话，全校听完之后都炸了...”,https://www.bilibili.com/video/BV1jG411A7aZ,柠檬派奇幻漂流,0,1045445,47193,4445,50535,0,2106,17212
77,要和喜欢的人要一起贴贴,https://www.bilibili.com/video/BV1qP411P7cF,小叮当玩具达人,0,3732107,707,1132,65859,0,19709,13266
78,还以为她们退圈了…原来都去演了妈妈？！对比发现内娱这妆造倒退的太离谱了吧！,https://www.bilibili.com/video/BV1uP4y1m7tM,橘里崽崽,0,1246383,7133,6174,61749,0,3810,14426
79,10月28日，云南景东。新郎家里条件不是特别好，吃席时新郎给新娘夹菜，新娘露出开心的笑容。网友：遇到了愿意陪他吃苦的好女孩！,https://www.bilibili.com/video/BV1Dt4y1T7R1,中国网直播,0,900192,1227,6256,92058,0,861,2361
80,【医学博士】30天不洗脸，会发生什么？I 90%的人都不知道的洗脸误区！,https://www.bilibili.com/video/BV1QG4y1h74s,兔叭咯,0,1250845,3809,6587,77612,0,3716,12764
81,【S12全球总决赛】淘汰赛 10月30日 JDG vs T1,https://www.bilibili.com/video/BV1Cm4y1F7Y7,哔哩哔哩英雄联盟赛事,0,3683318,71913,7225,29099,0,3320,4424
82,真是太搞笑了,https://www.bilibili.com/video/BV1t84y1i7Hs,老非凡了啊,0,913027,496,2686,31489,0,137,31949
83,【时代少年团】《共生长——Common growth 》2023台历拍摄花絮,https://www.bilibili.com/video/BV1rm4y1F7dM,TF家族,0,953841,72334,21553,81747,0,4604,16796
84,苦了孩子也不能苦了自己,https://www.bilibili.com/video/BV1SK411U7Ve,甜甜草酿鸡,0,782956,171,1976,74811,0,12974,10918
85,《青莲兰陵》寻找极限去突破有限，这就是兰陵王的魅力！！！,https://www.bilibili.com/video/BV1EG4y1b7T9,青莲又失利了,0,630704,968,20787,81271,0,1230,6870
86,【Faye詹雯婷x张远】《嘉宾》,https://www.bilibili.com/video/BV1eG411A7QF,张远Bird,0,629603,2379,27072,40474,0,14413,16284
87,【吸奇侠】《教父》柯家废弟赌城惨遭打脸，如何铺好后路？16,https://www.bilibili.com/video/BV1TR4y1X77W,吸奇侠,0,443284,4021,51824,54193,0,1419,10284
