,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,你这个人太……,https://www.bilibili.com/video/BV1ft4y1T7JW,田花花,0,1623472,716,3563,246929,0,11420,15959
1,恐怖片气氛到位了，演员是谁并不重要了…,https://www.bilibili.com/video/BV1i84y1i7cx,快乐冲浪指南,0,2136573,3446,14965,167914,0,102733,39628
2,帽子尺寸买错了，我戴有点小，我们家猫戴刚刚好,https://www.bilibili.com/video/BV1bD4y1b7RE,咻咻崽汁,0,866459,179,2292,114457,0,11741,16603
3,猫猫怎么可以这么倒霉！,https://www.bilibili.com/video/BV15P4y1m7r9,戒喵中心,0,1157923,623,1745,109386,0,10352,11289
4,如果“出口成脏”到“谢谢你”之间只是隔了一扇门，那我愿意成为打开她的那个妙人~,https://www.bilibili.com/video/BV1ve4y127un,边牧追风,0,730360,249,4925,93869,0,634,7697
5,雨林缸里的神奇植物,https://www.bilibili.com/video/BV1Xe411G7bd,一木一叶造景-老李,0,758475,867,1358,100516,0,1288,6370
6,相隔90天后的第一次见面，我和狮王奇克的双向奔赴,https://www.bilibili.com/video/BV1oW4y1j7HK,克里米亚野生动物园,0,369804,1819,63415,59702,0,1509,7111
7,它很努力，努力撑起它爱的这个家！,https://www.bilibili.com/video/BV1R8411a78P,甜不过喵,0,687112,580,4023,65778,0,5960,9661
8,《当你的奶奶想称一下每天蹭吃蹭喝蹭住的流浪猫有多重》,https://www.bilibili.com/video/BV1W84y1B7Ng,黑则明i,0,1753352,402,2859,120622,0,9074,11108
9,猫德学院大战狮子猫之小山坡战役,https://www.bilibili.com/video/BV1bP4y1m7HL,本喵叫兔兔,0,644966,1632,14218,89470,0,1107,2869
10,当你在酒店隔离时带了猫……,https://www.bilibili.com/video/BV1MR4y1X76w,繁花如素_,0,577124,157,645,57510,0,1974,8056
11,狗子：你食不食油饼,https://www.bilibili.com/video/BV11d4y1k777,CHOSEN-1Hz,0,741211,249,1105,56085,0,13316,6603
12,这个视频剪辑到现在，真是一边剪，一边掉眼泪，波妞是幸运的，我们和她是相互的救赎。,https://www.bilibili.com/video/BV1jP411P7Vc,设计汉服的波妞妈,0,404576,451,14920,67708,0,393,3766
13,遛狗回来忘记给狗子洗脚,https://www.bilibili.com/video/BV1sG411A7gc,Super喵喵啊,0,766575,41,208,67978,0,1350,2537
14,这狗子玩不起～,https://www.bilibili.com/video/BV1xP411P7R7,拉拉王雪雪,0,1190552,28,184,36582,0,392,1264
15,猫咪竟会“狗狗笑”，表情神态精准拿捏。网友：千万别让猫猫经常和狗狗玩！,https://www.bilibili.com/video/BV1jP411P7Mx,人民视讯,0,427582,72,1207,66991,0,10038,8332
16,养猫人的座,https://www.bilibili.com/video/BV1X8411a7c7,贩卖白泽枕,0,965299,51,138,52956,0,221,1782
17,猫带孩子几个月，突然意识到了小猫不是他亲生的…,https://www.bilibili.com/video/BV148411Y7Jt,亮亮也是酿酿,0,538587,1930,12107,52817,0,2611,3710
18,《做狗要潇洒一点》,https://www.bilibili.com/video/BV16W4y1j74h,龙馍馍,0,700944,416,8409,48448,0,5710,5596
19,一个打工人下班回家了,https://www.bilibili.com/video/BV1Dm4y1F7hb,我靠牛奶,0,408172,331,785,48311,0,1836,4095
20,由于不停的绝育，不到3个月，已累计为2次猫车的猫猫绝育1000多只,https://www.bilibili.com/video/BV1884y1i7Em,糗糗庄园,0,423736,451,14170,50850,0,1444,2270
21,小猫：“答应我，别死 🥹🫶”,https://www.bilibili.com/video/BV1o8411e7uu,internet-boy,0,1013164,99,1024,103636,0,11213,19035
22,二小姐长大了，知道要漂亮了#边牧陈贝拉,https://www.bilibili.com/video/BV1te4y127bF,边牧陈贝拉,0,393229,501,2468,48789,0,2020,1353
23,当我不小心把狗的饭碗摔坏了,https://www.bilibili.com/video/BV1mg411z7wy,大喵同志,0,525384,1518,3712,28912,0,2257,1974
24,冬天到了急需被子,https://www.bilibili.com/video/BV1CP411P7aM,爱伲动物护生园,0,312360,180,26073,38104,0,91,1458
25,猫猫疑惑！！！,https://www.bilibili.com/video/BV1x8411a7YH,DDkusch,0,843080,219,2176,91339,0,7269,19915
26,关于《我遗忘了狗子》这件事…笑不活了！,https://www.bilibili.com/video/BV1qP4y1m7aS,小博美肉圆,0,335648,109,642,51660,0,3198,4058
27,八…八嘎酱？,https://www.bilibili.com/video/BV1ke4y147eq,肥猫的胡子猫咪_新号,0,283315,118,473,47602,0,4628,4801
28,这个小孩儿总得手动启动...,https://www.bilibili.com/video/BV1Ut4y1u7N1,龙猫大宝宝啊,0,368891,244,716,84779,0,5268,11644
29,狲 思 邈 分 狲,https://www.bilibili.com/video/BV1sW4y1E7aD,知了解压萌物,0,1086514,3602,24837,135968,0,4548,9007
30,狗子：倒了大霉了我！,https://www.bilibili.com/video/BV1am4y1w7VD,十四毅,0,1242596,349,2066,96626,0,8484,13930
31,奇奇怪怪的猫猫们（但是日语）,https://www.bilibili.com/video/BV18e4y127C3,下野瑾瑾瑾瑾瑾瑾瑾,0,214427,183,2538,36707,0,2738,5532
32,“没头脑和不高兴 ”,https://www.bilibili.com/video/BV1VG411j7gG,戒喵懂事长,0,515464,585,2868,70582,0,7905,12893
33,猪猪可爱还是胖虎可爱？,https://www.bilibili.com/video/BV1Qg411z7zT,百花街萌鼠屋,0,344876,2001,7855,24823,0,814,1348
34,这家伙是真的活该,https://www.bilibili.com/video/BV1u8411Y7tE,颂珂不听话,0,583750,100,678,53995,0,491,3990
35,想不到我也捡猫了,https://www.bilibili.com/video/BV1ke411G7D4,迪士尼在逃黄狗coco,0,217814,237,3000,51511,0,347,3672
36,天冷了，用我的毛袜给猫咪保暖！,https://www.bilibili.com/video/BV1iD4y1b7wj,蒙大仁,0,387629,39,117,19429,0,1525,2040
37,东北虎，是世界上最大的脑斧。,https://www.bilibili.com/video/BV1Pv4y1D7nf,萌宠图鉴堂pet,0,289907,164,372,39866,0,1142,3494
38,这一刻是属于巡护员的幸福,https://www.bilibili.com/video/BV18G4y1h7wn,北大荒绿森林放鹿人,0,327121,724,5126,20653,0,1585,2092
39,随叫随到的小猫真的存在!,https://www.bilibili.com/video/BV1Md4y117ok,咩咩桑的成长日记,0,337899,226,1267,15805,0,6027,3161
40,我把电竞房藏洗衣机里了……,https://www.bilibili.com/video/BV1ve4y147WV,小帅家的大狼狗们,0,345881,330,360,17569,0,1371,2179
41,这是一个难熬的夜晚，好在小家伙很坚强，现在的精神状态也挺好的！,https://www.bilibili.com/video/BV1jK411D7z3,于大侠的快乐生活,0,496772,770,37906,94488,0,638,7418
42,是不是眼睛太小了，所以没人喜欢啊？,https://www.bilibili.com/video/BV1gG411A7q6,山君不吃鱼,0,271670,253,836,47011,0,163,1273
43,虽然它只是小狗，但是它还是有原则的,https://www.bilibili.com/video/BV12V4y1G7FM,鱼仔是真的狗,0,249189,115,599,38206,0,1221,983
44,猫:我不是人，但你们是真的狗！,https://www.bilibili.com/video/BV1f14y1a7aS,猫猫米老鼠,0,2204084,423,2130,50440,0,6578,39609
45,送俄罗斯的熊猫被养得很好(^з^),https://www.bilibili.com/video/BV1Sv4y1S73H,Alive-dragonfly,0,459752,1186,854,73843,0,3744,5534
46,我家边牧对猫应激了,https://www.bilibili.com/video/BV1314y1L7n9,奥利与奥斯卡,0,223437,197,622,34069,0,420,995
47,无意间录到了柯基成精了的证据,https://www.bilibili.com/video/BV1C14y157sF,小胖的柯基大队,0,1492408,106,581,52923,0,726,1729
