,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,看完10月新番，爽得我当场打开了剪辑软件！【泛式】,https://www.bilibili.com/video/BV1SD4y1b7oq,泛式,0,1939482,11896,194026,299060,0,13128,67542
1,【全网最细，不细抽我】我算出了阿尼亚的家有多大？b站第一人,https://www.bilibili.com/video/BV14e4y127gP,最上川下山,0,2029557,2257,49649,256110,0,8171,35548
2,国崩大人用过的吸管,https://www.bilibili.com/video/BV1t8411Y75k,illegallll,0,684387,735,18017,109577,0,12009,39761
3,无所谓，我会出手！,https://www.bilibili.com/video/BV178411Y7hF,KKOMDA,0,798006,1778,24178,95941,0,7925,18687
4,新人up大一第一次30s动画作业,https://www.bilibili.com/video/BV1uP4y1m73P,狐肆乱又在胡思乱想,0,479827,192,14561,117075,0,1577,18779
5,要和喜欢的人要一起贴贴,https://www.bilibili.com/video/BV1qP411P7cF,小叮当玩具达人,0,3732107,707,1132,65859,0,19709,13266
6,苦了孩子也不能苦了自己,https://www.bilibili.com/video/BV1SK411U7Ve,甜甜草酿鸡,0,782956,171,1976,74811,0,12974,10918
7,先 别 急,https://www.bilibili.com/video/BV158411Y77z,绘之音,0,453040,308,11140,69711,0,1667,16452
8,这个世界，由我鲲骑来守护！！,https://www.bilibili.com/video/BV1ke4y147JH,动饼动饼,0,624336,221,6347,80353,0,14294,13602
9,柯南射了多少针？我数出了柯南的命中率！爆肝3W分钟！全网最全！[不一样的统计],https://www.bilibili.com/video/BV1LG4y1h7sS,粗中有细的计数板,0,934934,968,17892,71105,0,787,37870
10,“而我已经分不清，你是友情，还是错过的爱情…”,https://www.bilibili.com/video/BV1UV4y1g78i,在下南巷哟,0,793318,783,28717,60332,0,5569,32013
11,好结局之帕瓦靠躲闪摇躲过玛奇玛,https://www.bilibili.com/video/BV1eG411A7Vd,墨日今天画画了吗,0,379616,325,7378,40489,0,8414,17274
12,你管这叫过家家？,https://www.bilibili.com/video/BV1fV4y1G7wH,二代二代,0,616516,283,8204,47030,0,885,11400
13,大学小组作业现状,https://www.bilibili.com/video/BV1Xg411z7t4,尹锕虚,0,607869,218,8353,40055,0,13551,7562
14,《宇智波汤姆！大战忍鼠联合军》,https://www.bilibili.com/video/BV1UW4y1j7Gg,岁月装填,0,604898,413,11686,43726,0,6702,8565
15,这又是什么神仙国产动画！2D+3D动画系列《凸变英雄X》！灭霸：还是你会啊！,https://www.bilibili.com/video/BV1gG411A7uU,GGAC,0,380485,1552,6301,31305,0,13094,13080
16,他又能打，又能吵！速看2022最新的《新·奥特曼》,https://www.bilibili.com/video/BV1ye411G7e7,-小镇时光人-,0,432562,1763,13806,41702,0,1135,6896
17,黑猫队长前来逮捕？白鸽一身御姐装！拟人版的童年经典到底有多强,https://www.bilibili.com/video/BV1qt4y1u7oh,游戏实习生小美,0,861000,2,864,9719,0,18,61633
18,新·假面骑士Black Sun 全骑士的高燃变身！！,https://www.bilibili.com/video/BV1ym4y1F7wQ,晴天Ultraman,0,975875,951,4458,62594,0,5205,8134
19,“再中二的少年，总有一天也会被现实打败....”,https://www.bilibili.com/video/BV1e14y1L7L8,学姐圆,0,337066,411,24499,43629,0,1818,17079
20,考前24小时通宵复习，会发生什么？,https://www.bilibili.com/video/BV1rR4y1Q7dn,李白尼的猜想,0,713782,824,1361,65001,0,609,6589
21,【译制腔配音】变形金刚离谱中文配音 黑虎擎天柱？！,https://www.bilibili.com/video/BV1Xt4y1T7Hd,瑄羽猫CV相声演员,0,350317,292,5931,42253,0,1877,13313
22,一口气看完，超火漫画合集《顶楼激战》超长解说，一次看个够,https://www.bilibili.com/video/BV12G411L7zb,神马说漫画,0,652893,4,1237,6009,0,7,35539
23,木兰：替父从军的事就交给我弟弟了,https://www.bilibili.com/video/BV1uG411A7N5,马刀刻森,0,1122009,1760,41253,98378,0,2904,14515
24,好好做视频得了！没事别老猜观众心理！,https://www.bilibili.com/video/BV1814y1L78K,星有野,0,1629190,655,14324,177591,0,2417,10153
25,【美月もも】自我介绍,https://www.bilibili.com/video/BV18D4y1b7RL,美月もも,0,297666,3507,15611,25858,0,3250,5428
26,"白天有多无害,晚上就有多冷酷,公主女友被绑架,男主强势救援",https://www.bilibili.com/video/BV1n8411a7EY,平时动漫,0,1189506,8,1669,7164,0,7,34600
27,为了第二季，无数人甘愿苦等12年的神番！上瘾剧情如今少有！,https://www.bilibili.com/video/BV1XK411U7K6,政宗君de情敌,0,442094,689,3064,19105,0,272,6392
28,尼克早就把所有的细节都记录下来了# 疯狂动物城 # 手..,https://www.bilibili.com/video/BV1Pm4y1w7Xz,落白阿,0,888795,211,3108,114250,0,1986,14428
29,我也要和你结婚！,https://www.bilibili.com/video/BV1fD4y1b7Xv,柠柠C,0,183482,221,1273,38383,0,628,10368
