,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,鲁豫，这次洗白了吗？【飘飘】,https://www.bilibili.com/video/BV1rV4y1g7LE,柳飘飘了吗,0,1107495,4870,15594,63509,0,3096,8794
1,【时代少年团】《共生长——Common growth 》2023台历拍摄花絮,https://www.bilibili.com/video/BV1rm4y1F7dM,TF家族,0,953841,72334,21553,81747,0,4604,16797
2,【六站联合】 认识的哥哥 E356.221029 (G)I-DLE 中字 1080P,https://www.bilibili.com/video/BV1RV4y1G72p,Mic迈扣,0,833956,19402,5438,24962,0,2947,18184
3,当初以为被节目组玩了，没想到他清醒的玩了节目组,https://www.bilibili.com/video/BV1Fm4y1w7cg,爱睡觉的_Koala,0,4991503,2611,37779,448162,0,16963,86604
4,【王一博】街舞5决赛队长大秀《One Love》,https://www.bilibili.com/video/BV1Ae4y1m7yN,YIBO-OFFICIAL,0,166075,13012,23514,24827,0,13567,16987
5,想到无聊！没想到这么无聊！《一年一度喜剧大赛2》爆笑沙雕组团Reaction05,https://www.bilibili.com/video/BV12m4y1F7yJ,我是一只粽子啊,0,623217,14722,6013,35243,0,1093,2788
6,第8期（上）世界级经典爱情电影的声音舞台【我是特优声 剧团季】,https://www.bilibili.com/video/BV1rP4y1S7hr,我是特优声,0,1872790,12031,1055,7904,0,11,16
7,史无前例！100套lolita变装来了！！拍完所有人都傻了！,https://www.bilibili.com/video/BV1b14y157TK,-谢安然-,0,526998,421,12265,91710,0,3644,13216
8,领错奖 爆粗口 点击围观明星最想销毁的颁奖礼黑历史,https://www.bilibili.com/video/BV1cR4y1X7Wx,话很多的小姐姐们,0,453288,6503,2719,27995,0,2199,2055
9,【蔡徐坤】《现象》沸腾校园-毕业合作舞台,https://www.bilibili.com/video/BV12v4y1S7r1,蔡徐坤情报局,0,299306,12372,4063,12307,0,3570,4845
10,甜哭啦！！成为现实情侣已经5个月！！！“收到了名为你的礼物” 恋综CP的神！！  |  海恩×贤圭 | 换乘恋爱2,https://www.bilibili.com/video/BV1iK411U79u,投我苦瓜_,0,579086,837,4086,24767,0,4166,8838
11,中东悍匪为他放人，国外豪族为他归还国宝，成龙凭什么是世界顶流？,https://www.bilibili.com/video/BV1s8411Y7oy,幕春秋,0,480541,374,879,30363,0,172,3703
12,把李连杰踩在脚下，被周润发5000块劝退，如今成武侠片的顶梁柱。,https://www.bilibili.com/video/BV1BG4y1h7jg,哈欠小鱼头,0,481751,321,328,26990,0,61,1408
13,《芳心荡漾》：秦岚+王子异，今年看过最折磨的国产剧！,https://www.bilibili.com/video/BV16d4y1k7AE,老邪说电影,0,376297,3999,2962,21904,0,1102,1153
14,What？？原来上古密约是北电的学生作业！然而这部剧导致了全员重修哈哈哈哈哈哈哈哈哈哈哈,https://www.bilibili.com/video/BV1J14y1L7VS,芝士莓莓全糖打包,0,403489,29,70,23084,0,460,1619
15,考古别人全是黑历史，而苏醒却全是高光时刻，谁能拒绝23岁的安娜,https://www.bilibili.com/video/BV1MP411P7yz,娱圈小吉,0,399380,92,129,24507,0,173,993
16,笑死，原来学习能力到达一定程度， 演员也会变成第二职业！,https://www.bilibili.com/video/BV12G4y1h7ab,董小小iii,0,580169,124,223,35036,0,100,3157
17,Cube在抠一种很新的门 ，穷的只有女娃了笑死我了,https://www.bilibili.com/video/BV1Qe4y1271J,蕊蕊向前跑,0,448752,15,119,44355,0,221,1964
18,天哪！原来骨相好到四五十岁脸都不会垮,https://www.bilibili.com/video/BV1qG411A7KQ,思思思镁人,0,337955,327,139,21878,0,238,2289
19,笑死！她居然胖了20斤，俩人在剧组忙着减肥！,https://www.bilibili.com/video/BV16e4y127Cy,刘昔昔昔,0,402804,134,101,13604,0,26,463
20,笑出猪叫！李佳琦唇枪舌战霸总，新电子榨菜《所有女生的offer2》【哇妹】,https://www.bilibili.com/video/BV1c14y1L7NV,哇哇哇妹,0,414166,692,1487,19796,0,890,1743
21,"""初代顶流""李准基：被誉为韩国花美男鼻祖，遭经纪人骗走十年积蓄",https://www.bilibili.com/video/BV1h14y1L7Ec,靓厨娱乐,0,440577,129,80,5734,0,376,443
22,【喜剧大赛】好笑么？你自己看看这好笑么？,https://www.bilibili.com/video/BV1DG4y1h7iG,No-巴蒂,0,420581,3929,1887,12896,0,849,825
23,妹妹，不要装了，没点野心怎么当爱豆啊！,https://www.bilibili.com/video/BV1H14y1575y,程小承_,0,562290,2166,4717,30104,0,1380,10757
24,幸亏雨琦把话圆回来了,https://www.bilibili.com/video/BV19e4y127Kv,斯ger,0,392552,1277,196,6031,0,10368,1575
25,原来这才是学习的意义，世俗的成功让人自由,https://www.bilibili.com/video/BV1GG411A7Q8,小紫娱酱,0,208593,58,1144,21080,0,976,7639
26,定妆照都拍好了，结果导演临时让她俩互换了角色！,https://www.bilibili.com/video/BV1Ue4y127VC,绿光少年四大爷,0,343904,36,54,13994,0,31,442
27,二次元直拍封面，但是周深,https://www.bilibili.com/video/BV1HK411U79Y,米古画画中,0,166554,104,2256,38223,0,689,7126
28,后来再难有这样纯粹的大女主剧！恋爱靠边站，搞事业才是正道！！,https://www.bilibili.com/video/BV1WP4y1m7Za,話影小酱,0,177272,105,495,22518,0,184,4763
29,(G)I-DLE-口出狂言的成员和瞳孔地震的队长hhh,https://www.bilibili.com/video/BV1Rg411z7Ta,娱咔咔SOLO字幕组,0,394019,1307,100,4488,0,2956,1183
30,你们韩娱是不是压力很大,https://www.bilibili.com/video/BV1qt4y1T7sM,大鹅呆胶布,0,277077,935,3542,17854,0,1921,4614
31,为了或许可能得到的公主抱，就要努力减肥了，哈哈哈#搞笑#消防员,https://www.bilibili.com/video/BV1mG411A7yd,呆猫吃娱,0,310718,45,77,23354,0,1045,658
32,水浒传：潘金莲片场被男演员们当众调戏，戏外和武松传绯闻,https://www.bilibili.com/video/BV1Nv4y1D7eN,我是皇阳,0,448302,66,58,11168,0,25,627
33,“我一直都觉得自己很漂亮”美而自知的自信大美人儿,https://www.bilibili.com/video/BV1Ke4y1v7wU,小公纸只,0,361121,345,34,4089,0,840,912
34,杨幂怀孕期间拍打戏吊威亚，往头上砸鸡蛋，只为帮邓超完成拍摄,https://www.bilibili.com/video/BV1U14y157c5,一懒无娱V,0,322067,31,116,9466,0,6,343
35,原来是有这么多不审题硬杠的人啊,https://www.bilibili.com/video/BV1c8411Y7sS,热点娱乐ou,0,265286,97,64,16126,0,599,682
36,如何在人群辨别中国人：一个坐姿精准认出，刻进骨子里的种地基因,https://www.bilibili.com/video/BV1kP411A7tu,五鹿泉娱乐,0,658586,340,158,25026,0,395,3883
37,【(G)I-DLE】这样剪？！！！正经安利,https://www.bilibili.com/video/BV1mt4y1T7Pi,懵懵-MengMeng,0,140126,53,2917,32559,0,485,5639
38,她竟然毕业于政法大学，被成龙挑中第一次演主角就出圈了！,https://www.bilibili.com/video/BV1VD4y1k7ko,雪昕穆子,0,1670376,1328,775,83459,0,304,6156
39,张元英塌房，被资本催熟的必然下场【资本&明星3】,https://www.bilibili.com/video/BV1xe411G7tX,预言家Alice,0,770475,3602,11252,52359,0,4667,6191
40,小娟“不在乎自己part多少 我收版权费就够了”写歌还会考虑成员的发音 他不火谁火啊,https://www.bilibili.com/video/BV11m4y1F7u5,前胸如后背丫,0,295021,115,148,8370,0,715,1484
41,和我的大学老师打成一片？遇此良师吗，上课眨眼我都得抽自己！,https://www.bilibili.com/video/BV1qP411A7Ho,小娱观察,0,261056,17,90,16784,0,63,1192
42,当爱豆遇上理想型女粉丝,https://www.bilibili.com/video/BV1he411G7a1,爱豆研究室,0,252075,14,44,14920,0,92,1010
43,这才是内娱该有的颁奖典礼！神仙打架！每一首都是精品！【宋亚轩】演唱会（伪现场）,https://www.bilibili.com/video/BV1zK411U7d9,三三乌龙,0,221706,23563,29676,31026,0,28871,17373
44,[KCLICK]221029 高清中字 认识的哥哥 E356 (G)I-DLE 女娃全体 下期预告中字,https://www.bilibili.com/video/BV1hP4y1m76n,KClick字幕组,0,291891,1508,296,3482,0,336,2179
45,有多少人是这里入坑的 小地主的颜真的无可挑剔啊,https://www.bilibili.com/video/BV1u14y1L7dU,Sumireの,0,255462,49,453,20785,0,977,5401
46,【Nv.Hanzi】换乘恋爱2 E20 221028,https://www.bilibili.com/video/BV1nW4y1j75o,女汉子字幕组,0,775577,60855,5636,21996,0,2318,5832
47,挑战解压球，捅破奖励1000元,https://www.bilibili.com/video/BV1sW4y1E7zQ,向北看世界,0,2463190,77,197,5424,0,7,2684
48,袁泉 现代版“赫本”，走红毯穿着大方得体，她靠演技站稳演艺圈,https://www.bilibili.com/video/BV1jD4y1b7wv,娱乐醉前线,0,297319,47,16,7442,0,13,268
49,救命…我当初居然以为说他建模脸是在开玩笑！,https://www.bilibili.com/video/BV1VW4y1H7Ld,呆瓜混剪,0,1140625,756,1416,101799,0,1937,11610
50,谁能拒绝佛系摆烂！孩子打小悟性就高,https://www.bilibili.com/video/BV1iG4y1h7hu,娱圈叫兽,0,174837,35,320,20135,0,703,3203
51,原来明星也会爱而不得：不管多帅都被甩，刘德华也追赶过燕子,https://www.bilibili.com/video/BV1Md4y117vq,小杨睡不醒R,0,279778,96,83,5769,0,90,959
52,《随 机 一 周 年 快 乐》,https://www.bilibili.com/video/BV1M8411h7aR,随机上工的野生字幕组,0,38041,790,11933,11761,0,1114,2011
53,白衬衫yyds,https://www.bilibili.com/video/BV18d4y1y7gX,芥烊,0,108143,23,486,37948,0,886,5896
54,舒华：总有姐姐惦记我的零食,https://www.bilibili.com/video/BV1hK411U7cy,静静踽踽,0,215165,6,53,13644,0,41,859
55,刚刷到要笑死我了！爱子nxde挑战,https://www.bilibili.com/video/BV1o14y157f6,西瓜卜NANA,0,168848,88,80,15311,0,3052,1733
56,被中国人的思乡情整破防，父亲坟前长出西瓜,https://www.bilibili.com/video/BV17g41167KT,娱圈小欣欣,0,172933,80,190,21311,0,47,809
57,“拜托 这样剪小潮真的很酷诶！”,https://www.bilibili.com/video/BV1we4y1v7Vn,小壕h,0,117515,283,1712,12955,0,192,5074
58,【NCT DREAM】这里是DREAM💚 我们是爱宝乐园🤩 ｜DREAM in EVERLAND #2,https://www.bilibili.com/video/BV1ZW4y1j7ib,NCTDREAM,0,101683,2892,4327,9090,0,365,3258
59,笑死，网友们太会爆料了,https://www.bilibili.com/video/BV1Ud4y1k7Dc,是徐五花,0,276060,41,176,27838,0,20,1090
60,成龙到底有多会折磨女演员？让林青霞跳泳池，张曼玉更是头破血流,https://www.bilibili.com/video/BV12R4y1Q7gq,锤子说个影,0,1809740,77,97,12707,0,17,4506
61,组合名称可以说是神预言了,https://www.bilibili.com/video/BV1nP411P7Qd,宝藏女孩收藏夹,0,332994,24,24,2193,0,260,417
62,记录片《绿色毒刺-芮丹尼》,https://www.bilibili.com/video/BV1Nd4y1y7BA,小仙乱解说,0,1375234,8,630,6621,0,120,36157
63,【海恩贤圭】小情侣在一起快半年了啊,https://www.bilibili.com/video/BV1Zd4y1k7ep,不歇的夏夏,0,462680,14,127,11203,0,204,901
64,谭咏麟：现在很多歌唱比赛无缘无故飙高音，唱歌是用来感动人的,https://www.bilibili.com/video/BV12v4y1S7EB,凤凰卫视,0,198085,767,359,6230,0,387,884
65,为什么置顶夸自己的评论?叶舒华：因为舒服,https://www.bilibili.com/video/BV1ug41167CT,生活不楠吖,0,190351,72,47,7296,0,338,1146
66,德云社学历两极分化，关九海上班如考试,https://www.bilibili.com/video/BV18G4y1h72K,虫二道娱,0,217627,24,19,5819,0,1,97
67,高占喜式清醒：“我的麦子熟了，梦也该醒了”,https://www.bilibili.com/video/BV1CK411D7nG,武月混剪,0,428344,292,2200,22813,0,1343,6292
68,当众“掌掴”冯小刚，成龙直言任他差遣，赵本山的江湖地位有多硬,https://www.bilibili.com/video/BV1Be411374N,华夏名人馆,0,325489,21,119,15794,0,16,483
69,minnie：中国人实锤了！,https://www.bilibili.com/video/BV14e4y147Ai,天言韩语裴秀智,0,212518,24,30,19435,0,26,681
70,换乘恋爱2 ｜ 大家都在ins暗搓搓的秀恩爱细节大曝光！！！贤圭x海恩-娜研x熙斗,https://www.bilibili.com/video/BV1o8411a7GF,cy-blue,0,240382,22,34,1801,0,51,255
71,什么叫天赋啊？（战术后仰）,https://www.bilibili.com/video/BV12d4y1y7bx,巴拉克游戏君,0,3177547,45,174,9339,0,23,8718
72,我天……建模都建不成这样，他们直接长成这样了！！,https://www.bilibili.com/video/BV19V4y1G7C7,奶黄包bao,0,121578,348,237,15448,0,283,1954
73,完全理解当年就是高圆圆贾静雯都在，也不能掩盖她的美貌！,https://www.bilibili.com/video/BV1dR4y1Q7vm,葵花瓜子阿,0,256366,96,83,9359,0,28,394
74,怎么了摊上事了！你养老呢，是风筝疯了还是我疯了，还得是你们啊哈哈哈,https://www.bilibili.com/video/BV1Um4y1F7pC,关钟鹏的阿塔潘吖,0,127912,73,148,9683,0,166,1778
75,嗨钙【1080中】SHOW ME THE MONEY 11 EP.2,https://www.bilibili.com/video/BV1mP4y1S7MQ,HIGUYS_official,0,273239,16627,2704,7017,0,1060,2804
76,李彩演｜烤地瓜请你睁开眼！还我IZ*ONE时期的同款演子,https://www.bilibili.com/video/BV12v4y1S7d2,剪视频赚点钱买专辑,0,195496,518,363,2773,0,55,479
77,卧槽她说的都是真的！不需要旁白，她站在那你就知道神女和凡人的区别,https://www.bilibili.com/video/BV1Mt4y1M7J8,包子不爱吃饼,0,187870,51,42,9739,0,22,575
78,彩演听着After Like跳自己的solo主打Hush Rush,https://www.bilibili.com/video/BV1G8411Y7mo,李彩演的计算器,0,103949,80,194,15313,0,448,1663
79,Its the commitment in the 'huh',https://www.bilibili.com/video/BV1JV4y1K7rx,SamRyder,0,1458031,281,6442,220644,0,1341,38922
80,【中字】(G)I-DLE新综《认识的哥哥》高清全场,https://www.bilibili.com/video/BV1oV4y1G75A,GIDLE家的小乐,0,148414,2047,411,3675,0,352,2207
81,同一演员，不同导演拍出的颜值差距有多大！！,https://www.bilibili.com/video/BV1xP411P7yD,清茗追剧,0,192021,7,18,4969,0,5,231
82,2021跨年相声:《德云社股票》郭德纲 于谦,https://www.bilibili.com/video/BV12e4y1H7US,锅の缸,0,1188159,403,392,3574,0,249,2421
83,如果(G)I-DLE的《Nxde》和真真美酱的运镜同时回归的话？,https://www.bilibili.com/video/BV15V4y1G79K,嘎舞强强DanceKang,0,497972,65,515,56692,0,206,3105
84,(G)I-DLE 221029 K-909《TOMBOY》《Nxde》舞台+全体个人直拍,https://www.bilibili.com/video/BV16K411U76A,護娃使者,0,165253,331,179,3978,0,266,1790
85,这么尴尬的场面我还是第一次见,https://www.bilibili.com/video/BV1He4y1e793,娱乐Q计划,0,188445,132,88,4026,0,2,201
86,小说照进现实，七匹狼二公子和特步小公主的情侣写真，有霸总小说封面内味了 #捕娱计划  #营销号大赏,https://www.bilibili.com/video/BV1YP4y1S7oJ,娱乐杂谈社,0,180733,15,24,8332,0,18,412
87,宋雨琦和叶舒华两位可以拿影视奥斯卡了，笑死我了。,https://www.bilibili.com/video/BV1zD4y1b7Pz,我是花栗鼠97,0,167729,69,25,5647,0,227,682
88,隔离在酒店，看见什么都想吃！,https://www.bilibili.com/video/BV12m4y1F729,浩歌KOJI,0,153488,149,1512,25698,0,286,476
89,【龚俊】一日龚作笔记,https://www.bilibili.com/video/BV1G14y1L7Ly,龚俊Simon,0,74984,5749,11891,18093,0,2153,4605
90,给外国人看西装暴徒，老外第一眼就看出刘华强是狠人,https://www.bilibili.com/video/BV1Ag41167RX,俄罗斯俪雅,0,166933,143,65,6198,0,16,397
91,这个视频属于是我剪完也怀疑自己创作时的精神状态的程度,https://www.bilibili.com/video/BV12e41137Qg,没救了的颜狗,0,168366,102,90,14481,0,364,997
92,口音改变了李承铉的颜值,https://www.bilibili.com/video/BV1ud4y117Fz,娱乐开心站吧,0,191980,8,0,1739,0,3,82
93,没人敢催更七大网红：南翔做饭费钱又费钱，苟宋把兄弟当“驴”使,https://www.bilibili.com/video/BV1aK411D7XE,网红叭叭酱V,0,1587207,962,826,31504,0,214,15950
94,向太有多宠郭碧婷？豪掷12亿办婚礼，只为哄儿媳妇开心,https://www.bilibili.com/video/BV1be4y127Kb,白小狐儿丶,0,197088,9,56,11622,0,10,259
95,原来分手早有预兆，刘涛逼婚纪凌尘含糊其辞，阚清子当场飙泪,https://www.bilibili.com/video/BV1fv4y1S7FN,账号已注销,0,194394,195,19,3440,0,64,201
96,【宋亚轩】他好像有那个脸蛋牛逼症！,https://www.bilibili.com/video/BV1me4y127EQ,宋亚轩的留声机,0,35653,446,5987,8963,0,5617,3301
97,史上最惨的手语老师，因为朱广权的段子，变成火影结印,https://www.bilibili.com/video/BV1LN4y1N7VA,复苏的光芒,0,4595527,799,2392,157943,0,1982,45020
98,明星肌肉记忆：丁哥下意识跳原版姐恋，陈立农跳《EIEI》梦回大厂,https://www.bilibili.com/video/BV1Ud4y1y7Bg,小神鹿娱乐,0,217840,70,107,11962,0,23,4060
99,【再就业男团】蜜桃reaction1.0！再就业男团玩密室不能没有苏醒！,https://www.bilibili.com/video/BV1zG4y1h7tS,粤男有话儿,0,110737,1136,2670,5763,0,189,742
