,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,"2008,为什么让我们如此难忘?",https://www.bilibili.com/video/BV1Gg411h7rj,百万剪辑狮,0,2223362,8698,155721,294511,0,38426,106405
1,内讧？卢俊义大骂宋江「黑矮无能」！《水浒传》P44,https://www.bilibili.com/video/BV1tW4y1j7u5,木鱼水心,0,651931,10061,73326,93658,0,1265,14452
2,【求求】对食文学：太监是没根的东西，受不住「情」,https://www.bilibili.com/video/BV1HR4y1Q7u6,求求扣扣困困,0,1877277,4426,86404,199961,0,30091,56483
3,FIRST FRAME单元宣言短片《我的朋友》,https://www.bilibili.com/video/BV1UK411U7B3,FIRST影展,0,257655,46967,34669,39871,0,18809,22486
4,【阿斗】又死一个主角，温柔贤良瑟曦登顶巅峰！美剧史诗巨作《权力的游戏》第16期,https://www.bilibili.com/video/BV1yd4y1k7Np,阿斗归来了,0,582931,5985,49794,69890,0,712,7691
5,还以为她们退圈了…原来都去演了妈妈？！对比发现内娱这妆造倒退的太离谱了吧！,https://www.bilibili.com/video/BV1uP4y1m7tM,橘里崽崽,0,1246383,7133,6174,61750,0,3811,14426
6,【吸奇侠】《教父》柯家废弟赌城惨遭打脸，如何铺好后路？16,https://www.bilibili.com/video/BV1TR4y1X77W,吸奇侠,0,443284,4021,51824,54193,0,1419,10284
7,是谁教你这么配音的？每一个音都落在我意想不到的地方哈哈哈,https://www.bilibili.com/video/BV1yK411U78a,只想暴富啊啊啊,0,818993,448,2759,66393,0,23266,14885
8,80年后世界会变成怎样？高概念科幻剧解锁未来幻想！解说《边缘世界》第二集,https://www.bilibili.com/video/BV1YV4y1g7nC,小片片说大片,0,664393,1687,24963,59447,0,438,8440
9,生命的延续，灵魂的救赎...,https://www.bilibili.com/video/BV1Be4y147rL,拾七的忘川,0,748732,60,1328,79787,0,406,9540
10,3D区扛把子都有谁？,https://www.bilibili.com/video/BV1BG4y1h71e,诸葛皮皮9527,0,785768,245,560,68582,0,1506,5545
11,从实习生到公司总监，这条晋升之路荆棘坎坷。,https://www.bilibili.com/video/BV1rW4y1j7X2,北斗星阿帅,0,1062012,706,2808,103965,0,806,4342
12,大悦爸：我的爱都在细节里~,https://www.bilibili.com/video/BV12W4y1j7VS,刘大悦er,0,720272,105,365,66703,0,163,1381
13,《诶我！好兄弟！》,https://www.bilibili.com/video/BV1iR4y1Q7rz,李宗恒Actor,0,2678053,889,10470,289684,0,12573,41868
14,女人什么都说？！,https://www.bilibili.com/video/BV1xW4y1j7Nd,派小轩,0,782312,242,1492,60471,0,2386,1333
15,“每天一遍，防止抑郁率达99.999%！”,https://www.bilibili.com/video/BV1fN4y1w7BM,爱睡觉的_Koala,0,6603887,5804,127444,490760,0,71867,235232
16,周星驰拍戏千万别在片场乱走动，因为下一秒你不知道他会牵来什么,https://www.bilibili.com/video/BV11G4y1h7Re,鱼叨叨啊,0,1178902,289,267,41237,0,199,1867
17,熊孩子嘴臭妈妈不管，结果被兵痞当街斩首：社会可没人惯你,https://www.bilibili.com/video/BV1Ud4y1k7vG,沫沫影院,0,749526,1582,755,54728,0,324,2949
18,面对疾病给他带来的困难他没有放弃，每次跌倒他都能顽强的站起来，在身边的陪伴下走下去…,https://www.bilibili.com/video/BV1Qg411z7zC,狂风v,0,764836,305,334,52271,0,52,2473
19,都怪你太美了,https://www.bilibili.com/video/BV1de411375F,辣鼻小象,0,785027,265,1801,72721,0,3206,6611
20,【大合集】一口气看完《精绝古城》到《巫峡棺山》，《鬼吹灯》剧情详解,https://www.bilibili.com/video/BV1i14y157M1,影河旅者,0,838162,5860,45690,47292,0,6139,78254
21,陈翔六点半：一招失言惹了祸，却让富婆爱上我,https://www.bilibili.com/video/BV198411a7AQ,陈翔六点半,0,699138,4147,13758,45903,0,4200,2575
22,可以典当一切换取欲望的神秘故事《第八号当铺2》！恶魔真的会有那么好心吗？,https://www.bilibili.com/video/BV1jD4y1b7r8,虫哥说电影,0,556986,4203,9485,41488,0,492,2697
23,本次版本改动你们说,https://www.bilibili.com/video/BV1Ad4y1177Q,脱缰凯Kk,0,447409,789,1645,60362,0,420,2924
24,如果快乐太难 那就祝你平安,https://www.bilibili.com/video/BV14e411G7iv,靳智博,0,357593,659,1023,74741,0,137,1807
25,【除暴】揭秘中国超级悍匪，狠辣程度让人闻风丧胆！,https://www.bilibili.com/video/BV1H14y1L79w,流心影者,0,1451551,64,761,4424,0,13,14732
26,论演员的台词功力，王志文永远是天花板极别的,https://www.bilibili.com/video/BV1Pd4y117am,宝宝爱迪迦,0,706881,117,277,28662,0,135,2225
27,【数据删除】“嘘！不要……惊动它们”,https://www.bilibili.com/video/BV1M8411Y7ar,人类清除计划有限公司,0,519259,976,2321,38381,0,895,10736
28,吴彦祖演技巅峰！成龙靠这部转型之作拿下影帝！经典动作港片《新警察故事》！,https://www.bilibili.com/video/BV1Cd4y1k7vg,培根悖论唠唠嗑,0,485618,9234,7700,27793,0,814,4361
29,【low君】《风中奇缘》：狼的诱惑，真的不能三个人一起过吗！！！,https://www.bilibili.com/video/BV1fD4y1b7XV,low君热剧,0,520960,3664,3729,31047,0,1118,2302
30,他本是隐世高手，却受尽欺辱，十八分钟看完甄子丹《武侠》,https://www.bilibili.com/video/BV1ve4y147LN,电影逗场,0,808099,824,605,31326,0,56,2287
31,一串预知未来的代码…,https://www.bilibili.com/video/BV1sG4y1h7du,小敏馨酱,0,529607,684,297,50760,0,70,3443
32,激  战  江  南  DLC  特  别  版,https://www.bilibili.com/video/BV11e41137UH,演员陆二喜,0,562842,2528,8688,75550,0,1725,9901
33,《让子弹飞》1个被忽视的「小角色」隐喻了鹅城丑恶真相？10万字拆解11,https://www.bilibili.com/video/BV1h84y1i7Lz,郭云神奇,0,445176,1080,13271,49001,0,317,4042
34,人是否可以成仙，这部电影改变了无数人对修仙的认知《双瞳》,https://www.bilibili.com/video/BV1K14y1L76c,小默说电影,0,614521,685,551,13005,0,520,7341
35,穷女孩坐头等舱被当作富二代，市长邀她同行，身份暴露让人震惊！,https://www.bilibili.com/video/BV1yP411P7Mu,入夜渐微凉心,0,694006,580,737,40364,0,95,2975
36,舒服多了,https://www.bilibili.com/video/BV1jG411A7WD,黑旗团队,0,380607,93,1248,48860,0,440,487
37,爆肝68小时！机甲才是男人的浪漫《环太平洋》裸眼3D跃屏效果。,https://www.bilibili.com/video/BV1814y1L7L9,益汁喵,0,384652,147,10652,23196,0,1062,5154
38,眼镜娘的服务总是那么细致,https://www.bilibili.com/video/BV1m14y157Yd,临时工小陈,0,835084,103,521,39100,0,154,1905
39,小时候吓哭了？盘点那些堪称童年阴影的香港恐怖片,https://www.bilibili.com/video/BV1de4y147c5,刘老师说电影,0,435417,3997,2594,26798,0,820,2941
40,56恋爱全纪录｜“姐姐，今天开始和我恋爱吧！”,https://www.bilibili.com/video/BV1M14y1L7bx,在逃摩托车手,0,283016,439,10008,21703,0,4856,10167
41,救命！终于有男主吐血战损也不影响打戏攻击性了！这才是男频文里侠而不柔的打戏！｜王鹤棣｜将夜2,https://www.bilibili.com/video/BV1yg411z7UC,圈肉火腿,0,301719,1506,5257,19163,0,2076,7216
42,什么是蒙太奇式谎言,https://www.bilibili.com/video/BV1Me4y1v77x,娱香Rose,0,461494,38,100,26973,0,220,4335
43,建议情侣都来学一下这个妆容，万圣节秀死大家！,https://www.bilibili.com/video/BV1Rd4y1y7vY,杨三岁和小鱼,0,340768,100,892,49812,0,2167,1409
44,6个人挑战逃出5米的大深坑，小伙竟然选择徒手攀爬，他能成功吗？,https://www.bilibili.com/video/BV1Ag41167Xp,K叔趣侃,0,552374,217,194,13382,0,21,516
