,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,《瑶O瑶O的奇妙冒险》,https://www.bilibili.com/video/BV1BK411U7Dr,瑶生Y,0,1168812,930,30012,183063,0,17413,18909
1,化妆真开心……,https://www.bilibili.com/video/BV1kD4y1b76e,大聪明小番茄,0,1404922,3339,28530,168060,0,17031,18648
2,国崩大人用过的吸管,https://www.bilibili.com/video/BV1t8411Y75k,illegallll,0,684387,735,18017,109577,0,12009,39762
3,“凝光大人，你看他的眼神…可说不上清白”,https://www.bilibili.com/video/BV1Vv4y1D7me,长野原宵受,0,1137015,2243,42284,98184,0,22943,44117
4,新人up大一第一次30s动画作业,https://www.bilibili.com/video/BV1uP4y1m73P,狐肆乱又在胡思乱想,0,479827,192,14563,117083,0,1577,18782
5,《二胡锯木头》,https://www.bilibili.com/video/BV1Vv4y1D75T,DDREAM゜,0,807518,70,4036,91932,0,951,27997
6,lovepotion,https://www.bilibili.com/video/BV1A8411Y7Tr,蜡笔巴拉巴拉新,0,1347975,729,18371,70954,0,2103,12282
7,忘了山水一层，已是三生有幸，哈哈.....,https://www.bilibili.com/video/BV1gV4y1V7Ws,_TanYK,0,561955,418,5302,120428,0,1779,30760
8,小卖部史诗级大片，经费在燃烧！,https://www.bilibili.com/video/BV19e4y1473b,b阿牛小卖部,0,910175,3117,7582,66191,0,8626,10085
9,《当你的奶奶想称一下每天蹭吃蹭喝蹭住的流浪猫有多重》,https://www.bilibili.com/video/BV1W84y1B7Ng,黑则明i,0,1753352,402,2859,120623,0,9074,11108
10,当王者UP主不务正业玩原神,https://www.bilibili.com/video/BV1Yd4y1k7bW,神奇的巅峰,0,1017524,2903,7737,98880,0,1630,13962
11,熊孩子嘴臭妈妈不管，结果被兵痞当街斩首：社会可没人惯你,https://www.bilibili.com/video/BV1Ud4y1k7vG,沫沫影院,0,749526,1582,755,54728,0,324,2949
12,狗子：你食不食油饼,https://www.bilibili.com/video/BV11d4y1k777,CHOSEN-1Hz,0,741211,249,1105,56085,0,13316,6603
13,小黑子蒸虾头，十 两点半来打卡 还食了油饼,https://www.bilibili.com/video/BV1vK411U7bD,鸡你太美华式炸鸡,0,776730,111,366,61411,0,215,2743
14,这可是中国邮政啊，千万不要低估任何一个邮递员的职业素养,https://www.bilibili.com/video/BV1DR4y1Q7Hc,元仔_Yuan,0,539043,805,1569,53835,0,377,3196
15,都怪你太美了,https://www.bilibili.com/video/BV1de411375F,辣鼻小象,0,785027,265,1801,72721,0,3206,6611
16,凡尔赛宫正式入驻B站！来看看“本宫”的领地全景,https://www.bilibili.com/video/BV1JP4y1S7Fw,凡尔赛宫,0,838774,2467,4269,76495,0,5271,12779
17,论演员的台词功力，王志文永远是天花板极别的,https://www.bilibili.com/video/BV1Pd4y117am,宝宝爱迪迦,0,706881,117,277,28662,0,135,2225
18,三天时间，我们举办了中科院第一届红警大赛,https://www.bilibili.com/video/BV1dd4y1y768,灰小乙少年行,0,497170,936,9866,24990,0,3508,4392
19,You(＝I）猛男必看的甜妹舞,https://www.bilibili.com/video/BV1184y1i7MM,周一萌,0,276805,17,1865,16999,0,865,19548
20,一串预知未来的代码…,https://www.bilibili.com/video/BV1sG4y1h7du,小敏馨酱,0,529607,684,297,50760,0,70,3443
21,【美月もも】自我介绍,https://www.bilibili.com/video/BV18D4y1b7RL,美月もも,0,297666,3507,15611,25858,0,3250,5428
22,停更一段时间，宿舍关系真的很无语……,https://www.bilibili.com/video/BV1SW4y1j7H3,壹九五七,0,857226,651,563,25634,0,995,1897
23,如果丧尸爆发了，可以选三个英雄联盟的技能，你该怎么选？？？,https://www.bilibili.com/video/BV1bG4y1h7wP,林一的记忆,0,494840,2097,790,28101,0,927,3445
24,你的论文导师有这么爱你吗？,https://www.bilibili.com/video/BV1ye4y127mT,茅茅虫学长,0,1074844,10,114,25700,0,538,1344
25,“善与恶都不够纯粹，所以痛苦”,https://www.bilibili.com/video/BV1k8411a7LP,画画顺安-Niallnan,0,365991,136,1225,39449,0,417,5563
26,【参加日本人的婚礼是什么样的体验？】婚宴菜单里居然有生鱼片？,https://www.bilibili.com/video/BV1UP4y1S7og,羽生结月Yuzuki,0,370533,180,466,45689,0,137,4219
27,东土大唐来的喵星人,https://www.bilibili.com/video/BV1a8411a71f,萌宠手绘阿星,0,981437,951,38836,155257,0,26800,37991
28,关于《我遗忘了狗子》这件事…笑不活了！,https://www.bilibili.com/video/BV1qP4y1m7aS,小博美肉圆,0,335648,109,642,51660,0,3198,4058
29,别的省降温vs山东省降温,https://www.bilibili.com/video/BV1fV4y1G7xn,-小米课代表-,0,527458,436,636,37773,0,5143,5024
30,【日本办公室料理】社长：生蚝一定只能加柠檬汁！不服来辩！,https://www.bilibili.com/video/BV1iP411P7Fs,長野社長,0,707213,216,763,65172,0,385,2468
31,《千 万 别 让 他 毕 业》,https://www.bilibili.com/video/BV1Ce41137fY,Selant丶天圣,0,823042,99,383,31728,0,5440,3438
32,你们宿舍都是谁干活呢…,https://www.bilibili.com/video/BV11K411D7Lm,-睡过头了哈-,0,702197,90,231,61022,0,234,1104
33,全世界仅此一辆 氢能源跑车 续航可达1635㎞ 百公里只需要2.2s！,https://www.bilibili.com/video/BV11V4y1G7hY,Car丶车视界,0,491091,210,819,20036,0,2001,3651
34,弗兰克为什么会被保安追，失去超能力的弗兰克却有身法,https://www.bilibili.com/video/BV1fP411A79W,阿凡提游戏解说,0,1019149,7,109,721,0,5,6413
35,浪漫至死不渝,https://www.bilibili.com/video/BV1kW4y1E7LN,会为你画大饼,0,723964,37,547,13495,0,304,17080
36,他真的是最好的江忍吗？偏偏宠爱1-10,https://www.bilibili.com/video/BV15g411h7z2,小涵动漫解说,0,1614492,10,1467,6899,0,14,61280
37,奇奇怪怪的猫猫们（但是日语）,https://www.bilibili.com/video/BV18e4y127C3,下野瑾瑾瑾瑾瑾瑾瑾,0,214427,183,2538,36708,0,2738,5532
38,从0.2毫米的一张纸里挖出一幅画,https://www.bilibili.com/video/BV1BW4y1J7pc,桂非妃,0,1416160,854,14594,196429,0,2098,21424
39,「恶婆千金」,https://www.bilibili.com/video/BV1UP4y1S7i3,雅儿推文,0,456196,0,251,1512,0,3,10940
40,善良的人不管做什么，都藏不住骨子里的善良～,https://www.bilibili.com/video/BV1YR4y1Q77g,娱乐大西呱,0,249540,17,279,40482,0,159,2680
41,末日马上降临，唯一知道真相的我该怎么办,https://www.bilibili.com/video/BV1aV4y157sK,雕小叼,0,2019753,19,1502,4160,0,6,26787
42,假如皇上听了疯丫头主题曲《彩色翅膀》,https://www.bilibili.com/video/BV1mD4y1b7J6,奶茶小肥仔,0,217716,149,2162,34557,0,9200,5147
43,"""中国的英雄是可以跪的，甚至可以从别人的胯下钻过去""",https://www.bilibili.com/video/BV1oP41177y9,不会剪辑的钱多多,0,1407708,103,1501,119802,0,246,10138
44,好听！周深新歌《奔向你》送给航天人,https://www.bilibili.com/video/BV1rP411P7EQ,中国战略支援,0,133922,1595,14900,20701,0,1992,6852
45,练书法,https://www.bilibili.com/video/BV1n14y157vB,陌生孤,0,1670898,736,880,72290,0,3938,4610
46,把李连杰踩在脚下，被周润发5000块劝退，如今成武侠片的顶梁柱。,https://www.bilibili.com/video/BV1BG4y1h7jg,哈欠小鱼头,0,481751,321,328,26990,0,61,1408
47,东北虎，是世界上最大的脑斧。,https://www.bilibili.com/video/BV1Pv4y1D7nf,萌宠图鉴堂pet,0,289907,164,372,39866,0,1142,3494
48,我是川美的，不是央美的,https://www.bilibili.com/video/BV1iV4y1G7xC,画画聋子,0,579360,64,1784,56078,0,585,6036
49,本想借他滑板露一手……,https://www.bilibili.com/video/BV1zd4y1k7Eg,JoeLur,0,510047,39,223,10483,0,552,510
50,傲娇幽灵上线！,https://www.bilibili.com/video/BV1M14y1L7VW,肖宇声没有哈雷,0,407149,7,138,23420,0,65,2696
51,谁输谁教孩子写作业,https://www.bilibili.com/video/BV1GW4y1J73c,桃园夫妇,0,4089139,1592,1679,177071,0,3698,6853
52,“你在大雪纷飞中迎娶我，我在白雪皑皑中送别你”,https://www.bilibili.com/video/BV1Ue4y1E7K2,帅气流川风,0,2715200,686,4072,98642,0,885,68382
53,《 中 国 机 长 》,https://www.bilibili.com/video/BV1AG411j7Mh,勇敢哥特丶,0,697442,81,267,82986,0,170,8229
54,王志文拒绝出演林耀东，导演无奈选择王劲松，不料被他演封神,https://www.bilibili.com/video/BV1Dt4y1T7U1,东苍电影,0,371762,88,128,24820,0,23,1124
55,我朋友帮我拍了四十几遍才抓拍到最后一幕……,https://www.bilibili.com/video/BV1FD4y1b7uX,是大莹子哟,0,1713124,199,3310,155181,0,1909,25337
56,绝了！这4个黑科技神器，让我无比震撼！,https://www.bilibili.com/video/BV1qt4y1T7ye,老麦的工具库,0,205811,34,1404,8690,0,405,14502
57,玉鼎真人送长寿面 玉鼎真人虽然一直说他给自己惹麻烦 但真的很在乎这个徒弟,https://www.bilibili.com/video/BV1ct4y1M7aP,吃瓜小几,0,357649,20,142,24604,0,139,1406
58,什么英语单词a开头s结尾？,https://www.bilibili.com/video/BV1bD4y1b7F5,Will的语言世界,0,524380,966,49,4428,0,79,417
59,我的小领导真的是四爱吧?!!!!!小说照进现实!!!,https://www.bilibili.com/video/BV1NP411P7SG,伍肆吖,0,257039,264,540,34324,0,1628,6109
60,卡车敢死队,https://www.bilibili.com/video/BV1nP4y1m7eo,沪昆线上的小猪头,0,372027,53,328,16728,0,63,983
61,脑洞大开的武侠电影，两个小孩疯狂锻炼舌头，只为练成蛤蟆功,https://www.bilibili.com/video/BV15G4y1b7na,雄哥说剧吧,0,568684,78,103,17979,0,74,514
62,灯塔上的老六,https://www.bilibili.com/video/BV1K84y1B7Zk,学成绝地老六,0,973605,153,351,48819,0,443,3281
63,在你身边，看你任性，陪你长大，这就是青梅竹马~你的星辰出现了么,https://www.bilibili.com/video/BV1Le4y177sp,小松鼠漫画解说,0,496684,5,679,4567,0,2,38390
64,【邓紫棋的VLOG】幸福开箱之【启示录】首波周边！！！,https://www.bilibili.com/video/BV1CW4y1j7DR,Gloria歌莉雅,0,235397,1277,7577,18497,0,10114,2582
65,测评垃圾模组，超多bug，0.0评分，还收我100个钻石！,https://www.bilibili.com/video/BV1jm4y1c7rv,望辰爱测评,0,409022,82,186,13243,0,11,4802
66,蝎子布局，谋杀何晨光，红细胞小组全员被活捉《我是特种兵之利刃出鞘》P4,https://www.bilibili.com/video/BV1FP4y1S75S,呆尼撩剧,0,696948,84,279,1549,0,5,12274
67,《憨豆特工》当你碰到一个满级的憨豆先生时，又会发生什么事呢？,https://www.bilibili.com/video/BV1vd4y1y7oq,仓鼠悠,0,528008,209,470,30232,0,121,855
68,龙族之战！无牙仔却成了意外··· #动画电影,https://www.bilibili.com/video/BV1te411G7Wt,飞飞剧场,0,413073,24,39,7828,0,9,241
69,十二星座最适合养什么猫？,https://www.bilibili.com/video/BV1Me4y147oc,宠物小手册,0,636488,68,766,5260,0,84,51206
70,（二）搁 浅 【原创动画】,https://www.bilibili.com/video/BV1aK411U7R7,狼岛主,0,175052,326,10257,19977,0,610,3562
71,【原神】哪些角色是你当初后悔没抽到的呢？,https://www.bilibili.com/video/BV1ct4y1M7Ef,不长草的树根,0,441297,679,59,26127,0,11,844
72,有一个爱做饭的室友是什么体验？,https://www.bilibili.com/video/BV1mW4y1j7Ai,李哥我饿了,0,231831,130,936,29182,0,741,951
73,这个视频的潜力，够你上清北了,https://www.bilibili.com/video/BV1Ce4y1j79k,小老师钱一,0,2139076,10865,69945,192971,0,25383,258867
74,你明白了什么道理？,https://www.bilibili.com/video/BV1Ce41137S8,记录小生活的蛋黄派,0,1271690,930,1668,143966,0,1124,5157
75,河南小伙想爆核桃，大叔一口回绝，结果大叔吃的最香！,https://www.bilibili.com/video/BV19e4y177kV,豫小恩,0,1182539,4220,4638,52142,0,2030,3644
76,Theshy无限火力玩霞，无限羽毛鲨人只需0.01秒，不打ad真是可惜了！,https://www.bilibili.com/video/BV12v4y1S7gF,爱生活的耀儿,0,488410,526,200,7270,0,105,185
77,他全身90%烧焦，很快自愈并意外获得特异功能,https://www.bilibili.com/video/BV1YK411U7c7,空天影视,0,381442,391,114,17942,0,14,883
78,新娘忘记自己结婚了，每天下班后直接回娘家，太搞笑了,https://www.bilibili.com/video/BV1W84y1i7NS,可爱包包啊,0,385487,155,45,10388,0,26,620
79,“他明明可以用手枪抢劫，非要用香皂，他真的很绅士”,https://www.bilibili.com/video/BV11e41157wM,TT陪琳,0,2271627,3137,8851,83319,0,12790,21037
80,水质检测笔真能测水质吗？？？,https://www.bilibili.com/video/BV1G8411Y7U9,国聪有话说,0,258429,272,432,22847,0,126,1156
81,精灵王子隆德和矮人王子都林终于重归于好，精灵和矮人准备合作 #指环王力量之戒 #指环王 #新片速递 #奇幻,https://www.bilibili.com/video/BV1JK411U7jp,桔儿-z,0,368291,47,45,20251,0,13,585
82,原来在电影《黑豹》中，还有这么多的隐藏细节！（3_3）#漫威 #超级英雄 #细节 #黑豹 #科幻,https://www.bilibili.com/video/BV1YK411U7E1,故事还未走远---,0,416861,11,48,6363,0,5,252
83,汪，汪汪汪,https://www.bilibili.com/video/BV1iD4y1b76p,orzGK,0,415458,30,43,4641,0,139,647
84,第1集 囤积十亿物资，异能空间加持，我在末世当大佬,https://www.bilibili.com/video/BV1HB4y1G7Yt,紫电骑兵,0,930732,29,626,2531,0,4,16110
85,那些年常驻网吧的神秘大神62,https://www.bilibili.com/video/BV1be4y1U7Cm,表面兄弟七哥,0,245514,46,618,23626,0,17,1024
86,中国六畜盘点，牛、马、羊、鸡、狗、猪趣味小知识,https://www.bilibili.com/video/BV1qD4y1b7ys,沙雕大百科,0,230552,281,455,21190,0,230,1890
87,天赋决定上限，刻苦决定细节,https://www.bilibili.com/video/BV1mD4y1b7TH,夜刀神Talon,0,305136,62,296,19218,0,274,1001
88,只有美食才能治愈,https://www.bilibili.com/video/BV1F14y1L7t7,重庆烧伤男孩储亮,0,91453,208,12822,40692,0,7,711
89,世界上最豪华的五辆房车，可上天可入水，看看你喜欢那一辆。,https://www.bilibili.com/video/BV11d4y1y7js,桔子纪录,0,515067,28,181,1787,0,31,10482
90,一口气看完《我在全球刷副本》1-6话！目前已更新到最新！,https://www.bilibili.com/video/BV13t4y1u7Xo,小脑虎说漫,0,3210046,6,1416,6311,0,0,43896
91,“一首会让你心情变好的英文歌。”—《Empty Love》,https://www.bilibili.com/video/BV1bG4y1H7Qg,Sean_Dream,0,539754,135,4829,24338,0,1297,65740
92,泰坦尼克号上的中国人，揭露100年前的世纪谎言！第三集,https://www.bilibili.com/video/BV1vW4y1E7NN,可达说影视,0,449953,98,150,15078,0,104,1233
93,青空灯真的不是智商税！！,https://www.bilibili.com/video/BV1Ke4y1v77n,小麦的家,0,222904,108,212,15049,0,1650,5027
94,当韦小宝的身份被拆穿，等待他的又会是什么？,https://www.bilibili.com/video/BV1St4y1T7Nx,倾城三恋,0,366434,24,45,7859,0,2,197
95,谈个合作,https://www.bilibili.com/video/BV11d4y1k7o7,她们和他,0,264135,73,353,17329,0,1650,2182
96,你别生气啊，他们真的没说你啥!,https://www.bilibili.com/video/BV1SW4y1j7sQ,呼呼呼hgj,0,233048,99,273,22210,0,704,1241
97,小狐狸啃藕【蔬菜磨牙系列】今日份吧唧嘴来了，秋天吃藕胜过吃肉,https://www.bilibili.com/video/BV1UK411U7ZL,奶油博美多多,0,200213,220,1310,11320,0,4938,4276
98,过山车变轨装置,https://www.bilibili.com/video/BV1CP4y1S782,筋斗云设计,0,352782,22,53,4001,0,10,170
99,青夫人酒醉被仆人夺清白，醒来就让他毙命生下小孤妖,https://www.bilibili.com/video/BV1QG4y1h7eC,毒舌影视解说,0,368479,26,47,5484,0,4,214
