,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,央美学长帮你挑衣服，不要拉倒（doge,https://www.bilibili.com/video/BV1Ue4y1e7SF,晓观队长,0,1161931,2038,34289,84297,0,7294,77222
1,【腕豪灵魂莲华Cos】无数人要我出腕豪，这次受邀参加LOL2022总决赛嘉年华Cos巡游，10.29-30，11.4-7号都会在，想来偶遇一波吗？,https://www.bilibili.com/video/BV1V8411Y7DP,爱举铁的熙熙哥,0,630461,83,2026,47627,0,6423,5338
2,用唱歌代替说话一整天，男友直接疯了...,https://www.bilibili.com/video/BV1ze4y147wy,宝剑嫂,0,500323,8441,8270,54150,0,895,2956
3,BlackPink化妆师有多牛？把我直接送入YG当爱豆,https://www.bilibili.com/video/BV1ct4y1M7F2,知名相声演员BBBBB大王,0,656933,1595,5837,38835,0,1343,4316
4,《一家四口》,https://www.bilibili.com/video/BV1tP411P74F,_一现_,0,558964,39,812,49384,0,352,7036
5,和凝光姐姐一起做运动,https://www.bilibili.com/video/BV15D4y1b7EN,骨头_Cheryl,0,573926,31,1888,46899,0,1999,17886
6,灵魂莲华cos合集,https://www.bilibili.com/video/BV1Q84y1i7HD,清和Alicia,0,348758,178,6979,33392,0,1048,5050
7,约尔太太❤优雅至极！ 真人版 4K,https://www.bilibili.com/video/BV1Xe4y177mN,千夜未来Senyamiku,0,777150,356,11032,70038,0,2101,28901
8,睡不着吗？少年,https://www.bilibili.com/video/BV1fR4y1Q76x,害羞7,0,241889,177,5398,25241,0,933,7426
9,年少不知姐姐好,https://www.bilibili.com/video/BV1Fm4y1c7sp,樱井绿子-,0,237712,174,2480,32163,0,459,5997
10,花最少的钱，买最好的鞋！双11全品牌运动户外省钱攻略！抽送10个1111元红包！,https://www.bilibili.com/video/BV1a14y1L7Wk,zettaranc,0,313331,2500,5294,16252,0,4060,3711
11,万圣节特别角色  寻梦环游记梅尔达仿妆,https://www.bilibili.com/video/BV1Be4y147RB,初九Haimon,0,192519,130,4063,49064,0,444,2760
12,人在办公室，心在时装周,https://www.bilibili.com/video/BV1aK411D7mA,徐珺大哥,0,284717,274,2050,24078,0,471,6037
13,下班着急去漫展，那我在空中换装吧~,https://www.bilibili.com/video/BV1ke411G72s,中国移动动感地带,0,542877,287,312,21513,0,291,2550
14,找个练拳的女朋友，怎么样？,https://www.bilibili.com/video/BV1RW4y1j7fq,摄影师韩雷-悦街拍,0,415167,55,140,8233,0,176,3397
15,眼距宽得像鲇鱼？调整四个地方，轻松拉近眼距！,https://www.bilibili.com/video/BV1yv4y1S7Dv,勇仔leo,0,231048,302,1388,22040,0,358,6361
16,【清华毕业配方师2】3招告别无效护肤｜0岁到100岁的八大护肤要点，收藏这一个视频就够了,https://www.bilibili.com/video/BV1b8411a71T,全嘻嘻,0,427662,1855,8506,16790,0,17352,20689
17,喷雾洗鼻，爽的一批～鼻炎哒咩，这个秋冬有这个洗鼻器也太幸福了吧,https://www.bilibili.com/video/BV1eG411A7Zc,-金尾酱,0,612505,75,466,7555,0,822,3178
18,“霸道”总裁来“相亲”？居然是这样的眼光？,https://www.bilibili.com/video/BV1Pg411h7d7,新氧美学院,0,1147611,20,199,1324,0,15,9362
19,2011年那个最想成为的穿越女孩｜芝月仿妆系列,https://www.bilibili.com/video/BV1Je4y1273p,芝月,0,277356,55,139,20793,0,147,659
20,偶遇街头摄影师？说好只拍两张呢！！,https://www.bilibili.com/video/BV1it4y1T79i,阿靖zi-,0,187255,160,1101,30891,0,315,1194
21,喊你的姐妹跟你一起画！,https://www.bilibili.com/video/BV17e4y127rk,辣条小王子0,0,367229,407,2114,51746,0,7308,3435
22,女性有很多面，没有一种肤色是微不足道的,https://www.bilibili.com/video/BV1SV4y1G7bR,阿面Aman,0,304824,275,1358,51204,0,465,5888
23,如何在公园拍异域大片？！,https://www.bilibili.com/video/BV1Ye4y147Rv,我是真的菜菜,0,196096,29,172,24785,0,118,2082
24,修女X僵尸新娘 | 你的万圣老婆来咯,https://www.bilibili.com/video/BV1QK411U7xu,妍子kenko,0,156280,189,1630,10535,0,587,6482
25,大方脸化泰妆太凶？？？？,https://www.bilibili.com/video/BV1T14y1L7ry,弄弄这个妆,0,262544,134,1295,34530,0,215,2654
26,丘丘人你上辈子是哥布林吧？没有旅行者管管吗,https://www.bilibili.com/video/BV1Yt4y1T7gp,成都漫小鬼,0,286543,20,47,12295,0,124,1793
27,【义眼丨落枫】 - 我既枯萎，亦是重生,https://www.bilibili.com/video/BV1ed4y1k7MP,vams07,0,127200,167,1569,25964,0,396,3563
28,贩子炒高5倍!原价299nike限量闷包值得吗?,https://www.bilibili.com/video/BV1qG411L7AQ,伟嘉gaara616,0,385638,1979,10024,13533,0,1805,16600
29,刘起伏 | 超简单！挡秃，挡发际线，不贴头皮！,https://www.bilibili.com/video/BV1mt4y1u7UP,-刘起伏,0,149817,34,490,13191,0,240,10820
30,这就是成熟的男人吗,https://www.bilibili.com/video/BV1Tm4y1c7Tv,逍飞free,0,132271,252,552,26353,0,1044,1751
31,叶舒华：黑发OR金发？,https://www.bilibili.com/video/BV1UG4y1h79J,十一的看脸日记,0,255536,410,87,20937,0,56,815
32,做完头发做指甲   成都人为麻将拼了命,https://www.bilibili.com/video/BV1jG411j72F,哎哟是莲老师,0,286114,113,182,33073,0,401,2871
33,灵狐，为你引路！,https://www.bilibili.com/video/BV1Mt4y1M7f5,樱群,0,242721,129,2406,25078,0,2014,5761
34,天知道这一刻我等了多久,https://www.bilibili.com/video/BV1JW4y1j7Sw,aunt_steph_,0,103503,28,293,24861,0,425,2764
35,男生必备小黑裤怎么选不翻车？选对3条小黑裤，搞定基础穿搭，风格百变不出错！,https://www.bilibili.com/video/BV17e4y127rq,纺织专家玲妈,0,94061,57,1196,13594,0,585,7276
36,仿妆cos分区上线，这些神人太牛了，开启视觉盛宴！,https://www.bilibili.com/video/BV17G411A7kY,哔哩哔哩创作中心,0,157519,241,1846,19567,0,419,1838
37,【玩cos是因为我不会画画】宵宫cos,https://www.bilibili.com/video/BV1F8411Y77J,魈崽o3o,0,173866,38,2221,39539,0,929,10288
38,你是花才会觉得春天会离开你 你是春天就永远会有花,https://www.bilibili.com/video/BV1514y1L75Y,良东东东,0,115920,42,687,23240,0,173,1527
39,【发夹正确戴法-不同尺寸篇】你真的会戴发夹吗？,https://www.bilibili.com/video/BV1Se4y147yW,瑶三岁dazzling,0,61294,44,688,7057,0,175,8103
40,没想到舍友是这么小气的人,https://www.bilibili.com/video/BV1sd4y127Jt,凤敏的光剑骑士,0,1125934,41,368,21001,0,272,8901
41,头皮瘙痒长疙瘩？头屑增多？赶紧给头皮除螨！不然就油秃头了...,https://www.bilibili.com/video/BV1de41157pm,嘤嘤茶老师,0,1432725,251,2256,20727,0,4003,19189
42,万圣节4,https://www.bilibili.com/video/BV1cV4y1V7ja,敏迪呀,0,246883,14,44,4690,0,443,1599
43,50w整容 归来仍是素人,https://www.bilibili.com/video/BV1Lg41167DW,蒙神神神,0,220934,433,761,5710,0,309,577
44,女的！不是男的！,https://www.bilibili.com/video/BV1WP4y1S7KB,_韩淑迪,0,192857,60,214,55830,0,774,5980
45,洗脸、洗头、洗XX… 皮肤科医生用了就舍不得换的洗护好物！,https://www.bilibili.com/video/BV1Qe411G7fe,皮科医生魏小博,0,138405,501,994,7844,0,1575,3020
