,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,《二 次 元 牛 逼 导 航》,https://www.bilibili.com/video/BV1Eg41167yQ,绫人太太啊,0,984211,2421,30838,133881,0,7296,16556
1,上海滩大佬座驾,https://www.bilibili.com/video/BV1Ye4y127h4,老爷车天鹰,0,865447,3361,20269,45439,0,648,3688
2,绝了！这些隐藏功能不光省钱还能保命！,https://www.bilibili.com/video/BV1qt4y1u71a,聪哥说车,0,1517329,287,1382,99479,0,872,29621
3,新手女司机开法拉利！？,https://www.bilibili.com/video/BV1hP4y1m7vz,视角姬,0,885853,754,3239,26011,0,753,10753
4,【小连杀配音】用兔子语音导航是种什么体验？,https://www.bilibili.com/video/BV1zd4y1k7ob,米琪小连杀,0,466869,1270,26912,53035,0,2171,16095
5,人有多大胆，设计多大产#08,https://www.bilibili.com/video/BV1ug411h7WQ,研车志,0,775084,306,229,28765,0,396,5113
6,全世界仅此一辆 氢能源跑车 续航可达1635㎞ 百公里只需要2.2s！,https://www.bilibili.com/video/BV11V4y1G7hY,Car丶车视界,0,491091,210,819,20036,0,2001,3651
7,迪拜 资本和中国国产车的天堂,https://www.bilibili.com/video/BV1He4y147nb,Shanghai-AUTO,0,1894820,4380,7878,48475,0,11911,13459
8,二手车检测带你揭秘精修车,https://www.bilibili.com/video/BV1LP4y1m7if,北京淘车二手车检测,0,574899,172,230,15148,0,382,2926
9,人生中第一台摩托车，3万块花得太值了！,https://www.bilibili.com/video/BV1Rv4y1S7Pa,福乐小哥,0,333929,1107,1319,18168,0,3296,3914
10,全B站最破！百大UP主车库……,https://www.bilibili.com/video/BV1GK411S74m,极速拍档,0,288989,2554,7312,23321,0,474,2092
11,如果我是导航员，你不会嫌我墨迹吧,https://www.bilibili.com/video/BV1B14y157Yz,大天搞笑配音,0,462708,155,8764,53509,0,733,2593
12,这部宝马730是真的不敢收！,https://www.bilibili.com/video/BV1we4y1v78A,厦门二手车海同学,0,493652,23,57,5645,0,9,441
13,奥迪专门为漂移大神“砖叔”造了一台车，采用了纯碳纤维车身结构，使用了两个来自于FE方程式赛车的电机最大马力可以输出670匹,https://www.bilibili.com/video/BV1mK411U7RP,分享车的Kr,0,199665,90,775,27560,0,709,4577
14,世界上最豪华的五辆房车，可上天可入水，看看你喜欢那一辆。,https://www.bilibili.com/video/BV11d4y1y7js,桔子纪录,0,515067,28,181,1787,0,31,10482
15,我要不要花23w买台R1呢 ？！,https://www.bilibili.com/video/BV1S8411a79r,极速拍档-Berlin,0,511217,2646,18734,84895,0,1405,3964
16,40W粉丝了！抽法拉利！送iPhone!,https://www.bilibili.com/video/BV1we4y1v7VL,极速拍档-小乔,0,821709,964,7650,28542,0,7804,2748
17,祝我50岁生日快乐，送你500份大礼！,https://www.bilibili.com/video/BV1se411G7d3,好看不火的梦想家ALI,0,168269,893,7910,10249,0,1278,2493
18,紧急避让与紧急制动哪个有什么区别？,https://www.bilibili.com/video/BV1M84y1B7U9,摩杰座骑行学院,0,1041959,433,160,49996,0,139,3582
19,爆砸180亿就有这水平？扒光极氪001背后的产品逻辑【镖车·极氪001】,https://www.bilibili.com/video/BV1um4y1c7Ge,保镖的车库,0,337615,1196,6894,14400,0,2593,3312
