,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,《原神》角色演示-「纳西妲：无垠无忧」,https://www.bilibili.com/video/BV1PP4y1U7qA,原神,0,2572172,29463,225198,342242,0,138998,81873
1,我叫柯蓝，是附近有名的名蒸蛋（3）,https://www.bilibili.com/video/BV1HP411P7uP,高斯Goh,0,1971482,14966,63556,215713,0,5429,34286
2,帮手× 黑手√,https://www.bilibili.com/video/BV1ZG411w7Wj,老番茄,0,2601003,20329,185831,338609,0,24245,85570
3,这是人类能完成的操作？？4,https://www.bilibili.com/video/BV1b8411Y7gW,FoFTG,0,1361124,6781,23787,168209,0,1123,34041
4,五杀挑战世界纪录：1分19秒！掌控命运的人只能是我自己！！,https://www.bilibili.com/video/BV1s14y1L74r,布锅锅,0,3521641,10994,103717,298853,0,28083,34896
5,无所谓，亚托克斯会出手,https://www.bilibili.com/video/BV1ne411G7XP,_再无相思寄巫山_,0,1520375,1218,38186,108983,0,38804,33420
6,“凝光大人，你看他的眼神…可说不上清白”,https://www.bilibili.com/video/BV1Vv4y1D7me,长野原宵受,0,1137015,2243,42284,98183,0,22943,44117
7,《睡觉模拟器》玩过没？？【沙雕游戏合集】,https://www.bilibili.com/video/BV1V8411Y7C3,徐大虾咯,0,874027,7440,27984,93706,0,2179,11694
8,【盾山-梦圆繁星】形象首曝！王者荣耀携手新华社快看，一起为梦天舱喝彩！,https://www.bilibili.com/video/BV18P411A73i,王者荣耀,0,1427705,2422,8386,101109,0,14894,6945
9,《原神3.2战前宣言》,https://www.bilibili.com/video/BV1zP411P7L9,企鹅带带北极熊,0,656871,2309,29078,68713,0,9816,17678
10,爱 情 最 强 王 者,https://www.bilibili.com/video/BV1XG4y1h7ps,王七叶-,0,970187,635,2912,113051,0,2008,4454
11,【STN快报6.5季11】神谷英树提出一小时一千块，被一女性拒绝,https://www.bilibili.com/video/BV1TG411A7vq,STN工作室,0,771548,9218,33777,65497,0,1566,10565
12,王老菊教你断剑奇侠（第二季03）- 剑冢舞王！,https://www.bilibili.com/video/BV12g411z78Z,怕上火暴王老菊,0,559021,10970,50171,47381,0,2491,14731
13,【昏黑造船厂400杀】摆完挂机 简单好抄,https://www.bilibili.com/video/BV1zP4y1m7AC,萧然Q,0,852918,2336,31892,50252,0,3809,9854
14,《原神》自制角色演示-「纳西妲：白草净华」,https://www.bilibili.com/video/BV12t4y1T7WJ,影度SDG,0,918647,1984,14271,77925,0,8549,8340
15,【S12全球总决赛】淘汰赛 10月30日 JDG vs T1,https://www.bilibili.com/video/BV1Cm4y1F7Y7,哔哩哔哩英雄联盟赛事,0,3683318,71913,7225,29099,0,3320,4424
16,《青莲兰陵》寻找极限去突破有限，这就是兰陵王的魅力！！！,https://www.bilibili.com/video/BV1EG4y1b7T9,青莲又失利了,0,630704,968,20787,81271,0,1230,6870
17,【不止游戏】这是一期帮你解决很多游戏问题的节目,https://www.bilibili.com/video/BV1nP411P7WL,森纳映画,0,372431,3334,20127,44752,0,1815,23223
18,【原神】官方封号公告来了！原神严禁的十件事！流浪者散兵是风系原因！2240原石将过期速拿！新常驻玩法七圣召唤介绍！,https://www.bilibili.com/video/BV1Qd4y1c7UP,自由大野猪,0,872341,1527,18812,58565,0,1335,6664
19,【MC逐帧动画】看到最后有让你宅在家的角色或游戏吗？,https://www.bilibili.com/video/BV1XG4y1h7G6,乌木啊,0,319507,982,9226,71243,0,2223,20333
20,破防了！我是真服了！！！,https://www.bilibili.com/video/BV1JW4y177Hc,某声悠,0,1293919,1654,1670,63303,0,4905,6110
21,我的世界方块轩搞笑动画之小孩哪有腰,https://www.bilibili.com/video/BV11G4y1h7ey,方块轩呀,0,699281,262,1568,63612,0,1004,14060
22,西施：我那么长的血条，一下就没了！,https://www.bilibili.com/video/BV11m4y1F7N1,尴尬的铁根er,0,895495,2010,3354,72245,0,450,1664
23,我见过最痛苦的号了，号主，你干嘛啊？,https://www.bilibili.com/video/BV1yP411P7pw,剑九游戏解说,0,978393,3650,14077,45186,0,3048,4173
24,【4K】用RTX4090打开最高画质下的荒野大镖客2，被震撼到了！,https://www.bilibili.com/video/BV1Lm4y1c71Q,咸条鱼,0,805408,1774,11457,31378,0,17963,14146
25,强到超模！须弥版本的绝对核心！纳西妲机制前瞻分析。【浅析原神64】,https://www.bilibili.com/video/BV1HW4y1j7sK,黑椒糖唯酢,0,766812,5210,15541,46712,0,5159,8157
26,这打仗呢！泰坦干嘛来了？！,https://www.bilibili.com/video/BV1Nm4y1c7xd,小南QAQ,0,694851,890,4438,64533,0,411,2662
27,当王者UP主不务正业玩原神,https://www.bilibili.com/video/BV1Yd4y1k7bW,神奇的巅峰,0,1017524,2903,7737,98880,0,1630,13962
28,跨时空飞天剑舞 向中国航天追梦者致敬,https://www.bilibili.com/video/BV1gm4y1c7Ht,新华网,0,917930,1203,9245,22264,0,1754,7199
29,我的世界：MC土豪版1，所有遗迹全部暴富，这是沙漠神殿？,https://www.bilibili.com/video/BV1uP4y1m7Hj,nor叔,0,1241595,760,3690,15101,0,92,36614
30,【原神手书】激萌来袭！用团子大家族的方式打开原神二周年！,https://www.bilibili.com/video/BV1684y1B7Nm,超想吃番茄,0,1352546,1739,105101,303323,0,23550,136369
31,【原神】萌新玩家一定要知道的8位六星战神！赶快练起来！,https://www.bilibili.com/video/BV1NV4y1V7cy,鬼刃不刀,0,836806,807,685,33043,0,1102,4064
32,当橡皮人们遇到「猫和老鼠」!!？,https://www.bilibili.com/video/BV1Be4y1271T,马里奥红叔,0,416735,2265,9539,52316,0,338,6195
33,一封来自须弥教令院的求救信！,https://www.bilibili.com/video/BV1hW4y1j7r1,谷仓里的耗子精,0,485018,2087,4932,50198,0,6346,6886
34,大蛇：就算你真是我爷爷，再玩也要亮血条了！,https://www.bilibili.com/video/BV1C84y1B78L,小君整懵啦,0,1029242,182,203,42408,0,58,1780
35,【虾米】生生相克！方舟：元素 第1期,https://www.bilibili.com/video/BV1he4y147tL,虾米的泪,0,320084,7688,20766,36017,0,411,7959
36,真正的CF身法高手，必须做到人机合一的境界,https://www.bilibili.com/video/BV1Re4y1e7gR,瞬移在我眼中,0,718965,372,2912,50224,0,596,1575
37,【原神】大伟丘居然能无视派蒙时停！！,https://www.bilibili.com/video/BV1qt4y1T7gh,ulu秋名山,0,858220,428,354,53458,0,945,3741
38,我有个朋友，他用60多万rmb冲了1000万金币，他真的一直很行,https://www.bilibili.com/video/BV1kW4y1j789,鬼叔黍,0,756335,1161,5914,29211,0,2266,1802
39,童年最重口味的小游戏，居然有这么多的续作？,https://www.bilibili.com/video/BV1CG4y1h73k,硬核豆浆,0,921781,1165,2229,22947,0,1150,4680
40,《无期迷途》限时活动——「瑰异奇妙夜」,https://www.bilibili.com/video/BV1be411G7mc,无期迷途,0,646887,1039,8105,26607,0,5703,3111
41,铸 币 龙 王,https://www.bilibili.com/video/BV19W4y1E726,小洛龙王,0,463923,420,4995,46759,0,1508,3569
42,超体降智第四期，以雷霆击碎黑暗,https://www.bilibili.com/video/BV1fv4y1S7Xu,粤鱼up,0,1072154,53,329,6665,0,39,12917
43,语 言 艺 术,https://www.bilibili.com/video/BV12D4y1b745,一头的秀发,0,435813,333,828,50670,0,549,5328
44,家，水做的~,https://www.bilibili.com/video/BV1VP411w7PN,建筑姬Ling,0,452718,748,3241,23732,0,1515,11168
45,退役就和LOL断绝缘分！史上最另类的辅助，到底还有啥游戏是他不会的？【联盟那些事儿】,https://www.bilibili.com/video/BV1Cg411z72P,LOL丶诺诺,0,853869,2813,5515,23292,0,4538,4540
46,【明日方舟】剿灭“昏黑造船厂”挂机懒人攻略！摆完挂机愉悦攻略！《明日方舟》|魔法Zc目录,https://www.bilibili.com/video/BV14e4y147WX,魔法Zc目录,0,457235,1821,9862,34018,0,1026,4061
47,博士首次指挥作战，但是ZC,https://www.bilibili.com/video/BV12W4y1j7NJ,伊洛Iroul,0,603886,231,2432,43266,0,6118,5544
48,【散人】绝活新概念 恐怖乙女？和男鬼谈恋爱《文字化化》demo试玩,https://www.bilibili.com/video/BV1j84y1i7Zy,逍遥散人,0,569972,7200,30854,65812,0,7982,19577
49,世界赛连ban12场女警，LPL被一个没见过的英雄打死了,https://www.bilibili.com/video/BV11K411U7TL,游戏电台,0,860257,645,332,23853,0,962,961
50,18岁的那天，胡桃还是和我在一起了,https://www.bilibili.com/video/BV1Ue4y177Lr,隔壁i绅士,0,660138,6112,3073,99409,0,267,4177
51,今天T1比赛，faker打得有多恐怖？卡视野、反杀、神走位、一推三，把JDG都秀麻了,https://www.bilibili.com/video/BV1ke4y127Wb,呆梦demo,0,600789,2510,9645,23275,0,2039,2282
52,三天时间，我们举办了中科院第一届红警大赛,https://www.bilibili.com/video/BV1dd4y1y768,灰小乙少年行,0,497170,936,9866,24989,0,3508,4392
53,狗头吧的期中小测试！！,https://www.bilibili.com/video/BV1gP411w7AV,破阵子l,0,1054656,1830,19305,64209,0,4006,4825
54,绝望录像！挑战2W元通关弹弹堂！#2,https://www.bilibili.com/video/BV1K14y1L7QK,一叮当猫一,0,525657,1150,34376,42591,0,773,4674
55,为了草神，我在须弥锄大地！,https://www.bilibili.com/video/BV1bV4y1G744,柑宝,0,471755,397,11407,74058,0,1986,15478
56,LPL为啥玩不了女警？12Ban女警意味着什么？,https://www.bilibili.com/video/BV1Hd4y1C7db,LPL战术小黑板,0,721233,2363,956,20351,0,1020,1067
57,关于我跟职业选手SOLO结果要穿Dva去解说席这件事,https://www.bilibili.com/video/BV1Be4y127zD,中国BOY超级大猩猩,0,388589,2655,6201,36445,0,1010,3672
58,女鬼都做成这样了，恐怖游戏还有救吗？,https://www.bilibili.com/video/BV19R4y1Q7qk,骨灰玩家陈二狗,0,475605,170,251,37580,0,690,4567
59,Uzi看Hope被Gumayusi点菜人都傻了：369都神勇发挥了 这Hope打的什么玩意！,https://www.bilibili.com/video/BV1C8411a7PD,游戏BBQ,0,906955,2880,95,8873,0,757,652
60,向花神献舞！回应妮露的只有...【原神空荧杯系列解说第十六期】,https://www.bilibili.com/video/BV1TP411P7ZC,游戏彩笔,0,282053,3393,17204,33489,0,4187,4436
61,红警房主专打萌新！那就全出采矿车进攻替萌新出口恶气！,https://www.bilibili.com/video/BV1Xm4y1F7nc,红警HBK08,0,540118,2649,3942,28890,0,343,1014
62,这就是你连想都不敢想的离谱预判,https://www.bilibili.com/video/BV1MR4y1X7ti,小海锤石,0,926374,631,1276,63557,0,630,1239
63,炉石传说：【天天素材库】 第321期,https://www.bilibili.com/video/BV19V4y1G7Ad,天天卡牌,0,511806,1452,4436,27945,0,245,1263
64,问：视频里一共出现了几个英雄人物？看不懂的建议反复观看,https://www.bilibili.com/video/BV1814y1L7Zy,等猫酱,0,518143,486,1472,23102,0,16598,4534
65,《战场女兵2》,https://www.bilibili.com/video/BV1Ut4y1T7b2,炎晨大魔王,0,252671,148,1172,53505,0,1240,13201
66,在 钩 什 么 ？,https://www.bilibili.com/video/BV1be4y127aC,大炒面制造者Cen,0,320801,1021,5725,40201,0,226,3602
67,在无尽的沙漠当中没有树木！该如何生存下去【我的世界】 P7,https://www.bilibili.com/video/BV1dd4y1k7Ds,不更新A,0,287647,2121,18673,46016,0,447,5410
68,👻往 生 堂 欢 迎 您🎺,https://www.bilibili.com/video/BV1mD4y1b7jU,矮乐多Aliga,0,263252,703,5032,40809,0,630,4954
69,《下水道ad英雄》,https://www.bilibili.com/video/BV1p84y1i72V,狒狒女警,0,845655,147,140,21553,0,68,396
70,生日快乐，教令院（出拳！）【原神沙雕新闻】#19,https://www.bilibili.com/video/BV1kP411P7J1,魏晋南北,0,280112,1712,5138,36220,0,1925,4284
71,当软粉和淀粉在淘汰后打起了扑克,https://www.bilibili.com/video/BV1Te4y1v76S,怪盗剧场,0,380237,2174,10650,20440,0,5202,3066
72,1W造成1209点物理伤害+百分之41最大生命值的物理伤害，韩式运营必备！,https://www.bilibili.com/video/BV1rm4y1F763,王氏上单,0,548452,585,941,34819,0,140,1156
73,《旅行者的一天》,https://www.bilibili.com/video/BV1Be4y147UH,邱人Lin,0,450555,346,1262,73302,0,1495,9621
74,《操作喜感，抽象拉满》,https://www.bilibili.com/video/BV1RR4y1Q7J8,黑洞king,0,411174,300,648,36584,0,197,798
75,我变成“鬼火少女”啦！红品摩托车就是不一样，轮胎还带火焰特效？,https://www.bilibili.com/video/BV1gd4y117PS,冰糖游戏,0,611003,31,164,1628,0,9,5866
76,钟离：小孩，借一下身体,https://www.bilibili.com/video/BV1re4y127uF,芊芊仟仟仟,0,295247,271,1463,39257,0,8039,9995
77,【艾尔登法环捏脸】酱紫捏？,https://www.bilibili.com/video/BV1xG411A7wz,Shiroily,0,235541,114,4989,10256,0,900,13747
78,【塞尔达】10小时萌新和1000小时老流氓之间的亿点区别~第八期！,https://www.bilibili.com/video/BV1te4y127Ts,波克楠楠,0,546725,740,7091,17193,0,2125,2704
79,防御塔的这个细节，大多人数都不知道,https://www.bilibili.com/video/BV16D4y1b7jF,嘟爷-阿克尚king,0,1210632,152,169,19364,0,229,657
80,弗兰克为什么会被保安追，失去超能力的弗兰克却有身法,https://www.bilibili.com/video/BV1fP411A79W,阿凡提游戏解说,0,1019149,7,109,721,0,5,6413
81,《超 人 强》,https://www.bilibili.com/video/BV1LG411j7XV,聒噪的山海君,0,463667,612,1706,25756,0,851,1201
82,诺手：被小丑恶心哭了,https://www.bilibili.com/video/BV1Wg41167Qz,阳光男孩小丑熊,0,389510,582,1290,35072,0,532,1106
83,一曲声未了，秋叶落晚照,https://www.bilibili.com/video/BV1Lg41167nM,阿向菌,0,118461,55,2332,41682,0,1849,10373
84,【原神·尘歌壶】免费复制|第一批共计11套方案分享,https://www.bilibili.com/video/BV1iR4y1Q7iS,风-笑尘,0,2110173,6829,268253,416142,0,25928,237527
85,植物大战僵尸：谁能冲破三道防线？,https://www.bilibili.com/video/BV1Se4y127u5,微弱de呐喊,0,829443,183,126,14861,0,29,1023
86,原神经典名梗,https://www.bilibili.com/video/BV1tP411P73J,游戏老八不扒瞎,0,369068,84,118,32424,0,582,2531
87,🥵感受对抗路无尘的魅力！🥵,https://www.bilibili.com/video/BV19P411A7Tt,苦瓜脸丿,0,479591,718,5635,41498,0,5166,8282
88,一级抓边，不共戴天！！！,https://www.bilibili.com/video/BV1CK411U7m9,哭泣的喵咪,0,405768,365,850,31208,0,440,1608
89,真取若无策（摘下眼镜）,https://www.bilibili.com/video/BV1UR4y1Q7zw,联盟勘探员,0,351908,91,2123,36206,0,522,1202
90,战 神 现 状,https://www.bilibili.com/video/BV1jP4y1m7cf,锤子game,0,349419,304,610,36905,0,226,1441
91,"我确定是游戏变难了,不是我菜了丨植物大战僵尸3D重制版",https://www.bilibili.com/video/BV1UD4y1b7eo,抽风Crazy,0,398571,618,3196,26693,0,570,2331
92,全球愤怒！纳西妲PV登上十三国热搜！“扬了教令院”成全球玩家共识，老外们的怒火压抑不住了！【快讯】,https://www.bilibili.com/video/BV14D4y1b7Jn,夜泽君pro,0,1076269,1541,2528,65899,0,11063,11250
93,《时间在变速，背身在滑步！》,https://www.bilibili.com/video/BV1rP4y1S7zn,手折余弦丶,0,293940,198,10562,29024,0,1845,4669
94,《原神》“我宵宫只打高端局”是什么梗？,https://www.bilibili.com/video/BV1fG411w7NB,是惜颜不是辛焱啦,0,404423,358,1041,28798,0,1012,2536
95,我化身蝇人，只身前往毒雾区,https://www.bilibili.com/video/BV1h14y157ci,游戏人阿管,0,939035,229,929,7905,0,41,15439
96,李甫西大夫，但是MC,https://www.bilibili.com/video/BV1pG411A7oB,HK黑客,0,283043,177,3947,34289,0,152,5160
97,别惹农夫大更新？阿杉任意建造龙骨炮，万圣节幸运南瓜登场,https://www.bilibili.com/video/BV1Dm4y1F7Rx,游小浪Game,0,325407,160,1178,3488,0,62,15902
98,管泽元看Chovy团战原地闪现被秒直接上火：你什么意思啊？结束啦！,https://www.bilibili.com/video/BV1tD4y1b7P8,主播圈内事,0,671893,1498,83,5496,0,913,331
99,偷龙最快的AD没有之一,https://www.bilibili.com/video/BV1qd4y1k7Ez,小何efls,0,466046,91,294,22904,0,234,766
