,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,公开处刑！第一次见家长，岳父课堂上放我视频...,https://www.bilibili.com/video/BV1KK411S7iD,三十六贱笑,0,1146603,14213,183057,184514,0,22234,32946
1,100斤vs200斤，究极自律一周，他们居然…【第二期】,https://www.bilibili.com/video/BV1jG411A7Vk,徐大虾咯,0,1800922,16948,77112,247845,0,3658,25437
2,【才浅手工】我把巨大的打火石做成了唐刀！实现电影动漫里的炫酷特效,https://www.bilibili.com/video/BV1RK411U7PQ,才疏学浅的才浅,0,1426359,5084,92633,155710,0,5611,21849
3,和好友换装后，我疯了！,https://www.bilibili.com/video/BV1GD4y187wt,花少北丶,0,955691,15220,74681,137911,0,8562,26750
4,《瑶O瑶O的奇妙冒险》,https://www.bilibili.com/video/BV1BK411U7Dr,瑶生Y,0,1168812,930,30012,183063,0,17413,18909
5,化妆真开心……,https://www.bilibili.com/video/BV1kD4y1b76e,大聪明小番茄,0,1404922,3339,28530,168059,0,17031,18648
6,画一幅画纪念童年时期最爱的电影和角色,https://www.bilibili.com/video/BV1BD4y1b7os,画小人的罗元,0,592578,264,8670,177252,0,1899,25628
7,听歌吗？奶茶分你一半💜,https://www.bilibili.com/video/BV1JG4y1b7Ni,河野华,0,856347,404,15060,115529,0,3223,21000
8,新概念探店，人均1888元的素食餐厅？？？【第三期】,https://www.bilibili.com/video/BV1eY411f7Hu,雨哥到处跑,0,880161,4628,25445,127740,0,1453,6601
9,你有过这样尴尬的经历吗,https://www.bilibili.com/video/BV1QW4y1E71j,Jsen江,0,2858053,275,721,138223,0,930,4020
10,不敢说的人，把这个视频外放,https://www.bilibili.com/video/BV19e4y127Yz,七颗猩猩QKXX,0,921627,432,2043,133871,0,4725,6864
11,有些人，生来就是享受生活的,https://www.bilibili.com/video/BV1Re4y127YY,极限游戏俱乐部,0,635932,991,2984,96751,0,2281,22170
12,打开这个视频让你爽一天,https://www.bilibili.com/video/BV1f14y157yG,阿星and阿奇,0,2135765,164,2041,63206,0,311,22536
13,广东人的家庭关系有多复杂？,https://www.bilibili.com/video/BV1fR4y1Q7DR,粤知一二,0,1192173,1346,2373,137042,0,1539,7548
14,拍个跳绳还不简单,https://www.bilibili.com/video/BV1dK411U7j9,小叮当的一家,0,1118151,312,1852,132079,0,939,3751
15,我的车被砸了，我是这样处理的。,https://www.bilibili.com/video/BV1PG411A7ko,艾瑞课,0,1039459,3609,36841,71014,0,1040,6949
16,“喜欢这种氛围感，雨声很大内心却很平静～”,https://www.bilibili.com/video/BV1dR4y1Q7vZ,咕咕啊啊咕,0,426664,461,6228,96575,0,4295,32688
17,我说一句男人至死是少年，应该不过分吧.....,https://www.bilibili.com/video/BV1Cd4y1k7Eg,赖活青年,0,1639428,186,423,105217,0,291,4764
18,生 日 当 天 结 婚 啦 ！！,https://www.bilibili.com/video/BV1Wm4y1F7FF,伢伢gagako,0,1033791,1203,17226,72602,0,719,7281
19,这就是传说中的黑色黄金吗？,https://www.bilibili.com/video/BV1nV4y1G7k7,南翔不爱吃饭,0,5256112,4258,164155,488358,0,3072,109961
20,“她说了一句话，全校听完之后都炸了...”,https://www.bilibili.com/video/BV1jG411A7aZ,柠檬派奇幻漂流,0,1045445,47195,4445,50536,0,2106,17216
21,真是太搞笑了,https://www.bilibili.com/video/BV1t84y1i7Hs,老非凡了啊,0,913027,496,2686,31489,0,137,31949
22,忘了山水一层，已是三生有幸，哈哈.....,https://www.bilibili.com/video/BV1gV4y1V7Ws,_TanYK,0,561941,418,5302,120428,0,1779,30760
23,再画两年，准备退休,https://www.bilibili.com/video/BV1714y1L7TJ,壁画师-佳佳,0,1335295,658,3125,135666,0,2543,6132
24,将道德作为一种表演，就是作假吗？,https://www.bilibili.com/video/BV1WP4y1m77N,疆域阿力木,0,497726,707,11455,101804,0,397,2572
25,当你发现你的好兄弟有一个漂亮妹妹！！！,https://www.bilibili.com/video/BV1K8411Y7pM,皮皮皮皮皮皮皮卡乒,0,1832617,1938,5032,63753,0,1522,3396
26,今日精神状态,https://www.bilibili.com/video/BV1MV4y1V7Y9,喜多日才菜子,0,664809,70,2425,48701,0,25673,19035
27,一根中,https://www.bilibili.com/video/BV1PR4y1X7Kf,池袋第一深情,0,807136,744,1302,71494,0,2683,4853
28,【微拍堂鉴宝】这东西就该放地上踩三脚！,https://www.bilibili.com/video/BV1p14y1L7Ra,微拍堂官方帐号,0,1899999,165,421,81271,0,158,3416
29,企业级理解,https://www.bilibili.com/video/BV1KP411P7dD,潇潇学姐lady,0,729535,176,592,79648,0,419,1150
30,可能有点突然！我们去美国了...,https://www.bilibili.com/video/BV1nP411P7Xy,啊吗粽,0,1939150,5163,14645,113837,0,5430,6257
31,挑战美术生纯白地狱套餐,https://www.bilibili.com/video/BV1me4y147R3,东东翔,0,573616,770,13907,60050,0,1312,4359
32,《吐 槽 小 会》,https://www.bilibili.com/video/BV1iP411P7Fh,俏佳人xxx,0,1368429,1703,9399,226322,0,5646,9386
33,【小卖部】菜刀牛再次返场瞬间爆炸！全网最详细菜刀牛返场解说,https://www.bilibili.com/video/BV1YP411P7DV,-超级小能猫-,0,555987,989,4576,52161,0,3246,7852
