,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,我都看不出来自己在做科普,https://www.bilibili.com/video/BV1se411G7LP,无穷小亮的科普日常,0,1548796,839,18430,285601,0,6930,18020
1,NASA、纳粹、麻省理工，火箭为何从东方升起？【钱学森上】【正经比比】,https://www.bilibili.com/video/BV1u14y1L7wg,阿Test正经比比,0,1299392,3994,53742,85920,0,4431,32464
2,电子监听、全国断网，棱镜门背后，中国如何从末路狂奔到世界之巅,https://www.bilibili.com/video/BV1i14y157YV,温竣岩,0,2278630,20453,265138,260916,0,46285,152357
3,价格虚高、制作违规、虚假宣传…Omakase高大上背后的乱象,https://www.bilibili.com/video/BV1Lm4y1c7Z7,赛雷话金,0,2048197,13784,25626,140148,0,11771,18276
4,【水果猎人】原神热门水果鉴定,https://www.bilibili.com/video/BV1Zm4y1w7PG,水果猎人杨晓洋,0,1910440,4365,10626,243378,0,7084,16428
5,【医学博士】30天不洗脸，会发生什么？I 90%的人都不知道的洗脸误区！,https://www.bilibili.com/video/BV1QG4y1h74s,兔叭咯,0,1250845,3809,6587,77613,0,3716,12764
6,侧躺会扎穿心脏吗？,https://www.bilibili.com/video/BV1nP4y1m7tm,刘加勇医生,0,579998,1813,5149,71185,0,2348,6311
7,【传染病系列04】狂犬病，吞噬神经的不治之症,https://www.bilibili.com/video/BV1yP411P7DM,神奇菌汤锅,0,1293034,10038,56117,93860,0,4243,20185
8,马上拆迁了，不敢给大家添麻烦，只是舍不得这棵花，藤本月季花……,https://www.bilibili.com/video/BV1zG4y1h7oi,若婉香薰花艺工坊,0,529884,204,681,70265,0,691,4844
9,一分钟学会摩斯密码#科技#黑科技#摩斯密码#涨知识,https://www.bilibili.com/video/BV16P4y1S7wC,宇哥睇世界,0,325381,145,2209,27697,0,689,29726
10,【很小的小知识】为什么工资会被称为薪水？,https://www.bilibili.com/video/BV1HG4y1b7BY,画渣花小烙,0,594952,761,6482,59516,0,549,4178
11,应急求生，复盘甘宇震后的荒野17天,https://www.bilibili.com/video/BV1V8411Y7si,一诺求生录,0,460570,630,1642,95115,0,508,12968
12,刘统勋：乾隆朝唯一指定宰相，到底什么样？【乾隆往事】,https://www.bilibili.com/video/BV1od4y1c7WR,正直讲史-李正Str,0,371652,5123,33811,38423,0,1038,7820
13,看懂了可口可乐，你就看懂了资本主义。【生意05】,https://www.bilibili.com/video/BV1ye4y147tY,智能路障,0,395754,4393,17072,26264,0,2154,13842
14,被抓怎么办？给你送盒饭，漠叔真下海拍片了,https://www.bilibili.com/video/BV1qg411z7ti,大漠叔叔,0,581654,3079,12028,56567,0,546,2063
15,突击检查T97，后厨我先冲了！,https://www.bilibili.com/video/BV18P4y1m7sw,成都市场监管,0,973434,306,637,73080,0,439,3142
16,这可是中国邮政啊，千万不要低估任何一个邮递员的职业素养,https://www.bilibili.com/video/BV1DR4y1Q7Hc,元仔_Yuan,0,539043,805,1569,53835,0,377,3196
17,把一桶西红柿扔起来，在空中自动装车让空桶落地，这该如何做到？,https://www.bilibili.com/video/BV1p14y157KB,萌萌战队,0,3233973,1805,2486,147269,0,2105,14173
18,1张疯传的国内985大学照片，揭露现实：抱歉，我也想过高配生活,https://www.bilibili.com/video/BV1VR4y197N7,小椰子专栏,0,671500,1851,1751,25521,0,1643,7414
19,凡尔赛宫正式入驻B站！来看看“本宫”的领地全景,https://www.bilibili.com/video/BV1JP4y1S7Fw,凡尔赛宫,0,838774,2467,4269,76494,0,5271,12779
20,来看看93年蒋昌建对于人性本恶的结辩，这可以当高考满分作文来背诵了,https://www.bilibili.com/video/BV1pe4y1S7Uj,喜欢小萌娃,0,959457,292,6814,111242,0,2146,49930
21,23大作文万能模板！直接背！英一保16分，英二保12分！【23考研英语，含新大纲】,https://www.bilibili.com/video/BV1ye411G7z1,考研斯基,0,163041,1225,14537,20183,0,1435,24786
22,【半佛】羽绒服是越贵越好吗？,https://www.bilibili.com/video/BV1RW4y1j7Vo,硬核的半佛仙人,0,1019719,1277,1090,72413,0,528,3981
23,一个男性干吃了35000毫克的咖啡因，这是他的器官发生的变化,https://www.bilibili.com/video/BV1BV4y1g7K9,Chubbyemu,0,860674,6316,29733,71584,0,6174,11624
24,【腿姐带背】23考研政治：史纲篇,https://www.bilibili.com/video/BV1Kd4y117bM,考研政治陆寓丰,0,341201,593,6560,15453,0,3009,17831
25,免费的互联网，为什么有这么多付费VIP？,https://www.bilibili.com/video/BV1h14y1L7Xh,无处安放的小A,0,1026313,1464,1061,81927,0,204,4753
26,费米悖论：为什么我们找不到外星人？乌鸦竟然可以解释这个问题，最近几年，鸟类学家们似乎从乌鸦身上发现了有关人类和宇宙智慧的秘密……|自说自话的总裁,https://www.bilibili.com/video/BV1ZW4y1j7EZ,自说自话的总裁,0,511360,5290,5444,26000,0,1891,5867
27,【生物必修一】找出不足，提分才快,https://www.bilibili.com/video/BV12m4y1F7o8,学霸同桌,0,238963,710,8598,18562,0,913,19030
28,在一家外国英文网站上，郭靖和杨过斗了17年,https://www.bilibili.com/video/BV1814y1L7Zr,我是EyeOpener,0,531651,2311,4455,22155,0,4227,4911
29,up主竟然分析出了须弥动物的演化历程？！,https://www.bilibili.com/video/BV1yD4y147rb,芳斯塔芙,0,319680,2765,9243,36191,0,3159,4875
30,假冒网红、伪装邻居…新型拐卖女性的套路有多隐蔽？你可能一个都无法识破…,https://www.bilibili.com/video/BV1nW4y1E7Pq,二二酸酸,0,934236,3473,27213,80129,0,60705,25922
31,泡菜中国起源？韩国的泡菜居然90%都是从中国进口的,https://www.bilibili.com/video/BV1uv4y1D7Q1,橘右美美子,0,423472,372,259,42696,0,60,4450
32,清朝文人怎么走仕途？林则徐的履历堪称范本【细说紫禁·毛立平57】,https://www.bilibili.com/video/BV1AG411A7dk,毛立平,0,302809,1686,19451,21227,0,770,6908
33,中国给剑起名字有多绝？,https://www.bilibili.com/video/BV1CG411L7fZ,迟锐-猫管,0,1526470,1353,989,98499,0,501,18952
34,两个科学小实验，大气球里面的压力小，浮力以及惯性,https://www.bilibili.com/video/BV1J8411Y7wj,李论科学,0,501068,1129,703,36174,0,685,3640
35,你的论文导师有这么爱你吗？,https://www.bilibili.com/video/BV1ye4y127mT,茅茅虫学长,0,1074844,10,114,25699,0,538,1344
36,破除假努力，让你超高效学习！2个实操方法，彻底破除学习无用功，提分就像喝水般轻轻松松！,https://www.bilibili.com/video/BV1mW4y1j7bU,硬核学长2077,0,283204,335,6730,30361,0,2218,26685
37,直奔广东！台风尼格将给南方大送水，大范围风雨降温逐渐开始,https://www.bilibili.com/video/BV1Uv4y1S7ZZ,中气爱,0,486394,1857,2172,29697,0,6507,1004
38,故土难离，因为情感，也因为安全！,https://www.bilibili.com/video/BV1LK411S7dN,央视农业,0,382453,654,1258,48094,0,378,1234
39,我怀疑程序员在摸鱼，但是我没有证据,https://www.bilibili.com/video/BV1j14y1L7wV,PM圈子-崔经理,0,1397434,54,283,39851,0,709,1610
40,揭秘人类最深恐惧，最后一种最怪异，并且人类独有！,https://www.bilibili.com/video/BV1jD4y1b7A9,没胡子艾力,0,495618,2676,651,18141,0,529,6045
41,到处都在说中国式现代化，可它到底是什么意思呢？,https://www.bilibili.com/video/BV1eG411A7kM,所长林超,0,795808,721,22373,46211,0,9881,17110
42,两个视频看懂汉宣帝的一生：昭宣之战,https://www.bilibili.com/video/BV1MK411S7iC,唠点历史,0,204872,4555,26289,21555,0,627,6430
43,深度|| 司马家族“必然兴旺”的乱世算法,https://www.bilibili.com/video/BV1n8411Y7SZ,渤海小吏,0,252553,2825,17392,24672,0,1493,6075
44,19岁小伙子死亡为所有人敲响警钟！,https://www.bilibili.com/video/BV1XW4y1E7a6,医路向前巍子,0,1007415,934,2811,121934,0,1163,9079
45,【JUMP】居然有人说彩礼是福利？,https://www.bilibili.com/video/BV1vt4y1T7Ln,暴躁的仙人JUMP,0,534582,967,1781,32911,0,1496,3050
46,如何成为一名世界顶级典狱长？,https://www.bilibili.com/video/BV1gd4y1C7Xu,衣戈猜想,0,329728,860,4844,28426,0,1380,3669
47,美国人日常交流语速，你能听懂多少？,https://www.bilibili.com/video/BV1Ug41187cd,BigShot英语,0,1980970,830,5264,46443,0,2711,26871
48,牛老师直播偶遇“牢底坐穿”大宝剑,https://www.bilibili.com/video/BV16P411A7w7,道德未央-牛道德,0,1473660,369,654,125020,0,541,6711
49,护士黑化的四个阶段，是谁我不说,https://www.bilibili.com/video/BV1HG4y1b7Ej,Wendy护理君,0,445004,81,159,25269,0,1359,1709
50,为什么大多数动物都不能断肢再生？【奇怪的知识】,https://www.bilibili.com/video/BV1Ke4y1v7T4,上将王司徒,0,356307,730,1272,25853,0,214,2314
51,男子在网上贩卖假毒品，用冰糖冒充冰毒屡试不爽，他这算犯法吗？,https://www.bilibili.com/video/BV1he4y127T2,挖沟连彭沟长,0,822132,2763,388,17381,0,2612,2092
52,中古以来攀升最猛的一个大姓【聊聊各地的特色大姓02】,https://www.bilibili.com/video/BV1ve4y1479U,何解毒,0,332653,3307,3433,18507,0,4235,3570
53,有人老是爱上渣男让我骂骂她，这个要求我喜欢,https://www.bilibili.com/video/BV1984y1i7yT,天真的和感伤的小说家,0,212579,4031,13702,19220,0,3849,5059
54,北宋失传绝技再复原！一定要看到最后！太惊艳了！,https://www.bilibili.com/video/BV1pe4y147J5,奇人匠心官方号,0,404172,28,257,24091,0,23,742
55,狐狸精才是真正的恋爱脑！别冤枉了王宝钏！！！,https://www.bilibili.com/video/BV1v84y1i7t2,沈奕斐,0,330016,2161,9783,21090,0,5574,5230
56,谁把世界杯偷走了？【硬核狠人41】,https://www.bilibili.com/video/BV1HV4y1G7sC,小约翰可汗,0,1986705,13077,57086,157405,0,4633,20126
57,他这嘴唇的技能好厉害，来看看我是怎么利用他来教你们英语的,https://www.bilibili.com/video/BV1PR4y1X7rH,Ernie老师,0,678521,86,452,54565,0,1082,4405
58,先秦时期中国人取名的奇怪方式,https://www.bilibili.com/video/BV1Bt4y1T7FG,没脸鉴人,0,329201,1180,1895,12128,0,425,5769
59,余 华,https://www.bilibili.com/video/BV1184y1B7Qr,贰蛋蛋蛋蛋蛋,0,2891199,2510,80101,252259,0,14820,89616
60,中国女生采取正确的姿势，成功救自己一命，请转发出去！,https://www.bilibili.com/video/BV1iG4y1h7cg,普外科曾医生,0,341668,325,1463,19769,0,4067,2920
61,《死人经》——在末法时代呼唤爱,https://www.bilibili.com/video/BV1hV4y1g7j7,大门ZRR,0,279017,1201,6085,11191,0,838,5935
62,【戴建业】父母总是否定我，如何摆脱家人给你的精神暴力？,https://www.bilibili.com/video/BV15v4y1D7tZ,戴建业老师,0,253286,1436,6869,15912,0,3277,5066
63,设计师记反了名字？硬核分析原神须弥生物原型,https://www.bilibili.com/video/BV1QR4y1Q7RW,龙女之声,0,223103,2359,6850,25144,0,1075,3072
64,985毕业“捡破烂”，从未正经上过一天班，他是真开心,https://www.bilibili.com/video/BV1Tg41167Cw,20岁了还没去过星巴克,0,326961,3962,4462,15149,0,5351,2789
65,什么英语单词a开头s结尾？,https://www.bilibili.com/video/BV1bD4y1b7F5,Will的语言世界,0,524380,966,49,4428,0,79,417
66,脱发星人有救了，人造毛囊首次培养成功！【科学快报】第49期,https://www.bilibili.com/video/BV1Je4y147sv,科学透镜,0,364577,595,1388,10253,0,2471,2448
67,好穴位值得收藏！,https://www.bilibili.com/video/BV1B84y1i7jT,肖博士健康科普,0,164316,86,476,19989,0,1268,8500
68,抛开李诞不讲，我们来聊聊国产脱口秀，谁是幕后推手？,https://www.bilibili.com/video/BV1EP411P7TG,大郎财经,0,322764,679,1037,20282,0,905,3771
69,牙齿是死的还是活的？,https://www.bilibili.com/video/BV1qd4y1k7VF,好奇心会社,0,289973,407,533,18652,0,290,3156
70,爽文男主——嬴政,https://www.bilibili.com/video/BV1KR4y1X7k5,直男文史课,0,319569,705,1772,14627,0,229,1643
71,王牌飞行员值几桶冰淇淋?【隐藏菜单】·炮灰生存指南 06,https://www.bilibili.com/video/BV1f14y157p2,bugman24K,0,240568,745,3390,12405,0,543,4677
72,三国天才那么多，为什么是司马家族笑到最后？【毒舌的南瓜】,https://www.bilibili.com/video/BV1Ft4y1M7Re,毒舌的南瓜,0,276020,1590,1010,16786,0,299,2549
73,这个视频的潜力，够你上清北了,https://www.bilibili.com/video/BV1Ce4y1j79k,小老师钱一,0,2139076,10865,69945,192970,0,25383,258867
74,为什么桥修好了自己“跑了”？敲黑板！！地理原因来啦！,https://www.bilibili.com/video/BV1ze4y147cV,热爱干饭饭,0,208786,58,211,24996,0,1281,3645
75,辛弃疾穿倭甲？铠甲复原路不能走偏，国甲和倭甲究竟怎么区分,https://www.bilibili.com/video/BV1Ce411G7vr,冷兵器研究所,0,265307,827,3809,11226,0,438,2488
76,世界上最危险的血型,https://www.bilibili.com/video/BV1hN4y1A7Mt,绝密研究所,0,2733938,769,1212,31698,0,401,33000
77,东京大学的网课是这样上的！（教授是美少女）,https://www.bilibili.com/video/BV1ct4y1M76n,星崎さくら,0,428533,575,2377,13480,0,13744,6358
78,《高等数学》同济版 全程教学视频（宋浩老师）,https://www.bilibili.com/video/BV1Eb411u7Fw,宋浩老师官方,0,72995473,1781115,1172096,1359193,0,542409,1606860
79,罗马如何走向帝国？从我来我见我征服开始讲起【罗马史19】,https://www.bilibili.com/video/BV1d8411a7i4,训练有素的将军,0,197459,1401,5330,11302,0,479,3549
80,二战的美军为了吃冰淇淋，都干了什么离谱事？,https://www.bilibili.com/video/BV1EG411A79A,正经的知识,0,189800,41,118,28029,0,156,914
81,数 学 冷 知 识,https://www.bilibili.com/video/BV1fd4y1k7nL,天星教育官方号,0,233448,98,125,21046,0,1375,2031
82,“蜗牛球”是如何制作的？把它放在斜坡上，有趣的现象发生了,https://www.bilibili.com/video/BV1fm4y1F7VB,冷科普,0,1085868,640,739,48064,0,421,4930
83,一份二战时期神秘地图，指向南极地下存在众神之城？德国是否建立过秘密基地？【都市传说】,https://www.bilibili.com/video/BV1LW4y1H7SX,环球秘闻档案馆,0,893694,1574,2762,109584,0,697,27589
84,【8集】年度最火高效学习方法短片合集-中英cc字幕-英语口语听力单词语法,https://www.bilibili.com/video/BV1Cd4y1k7Nb,修修捏英文人文科普,0,56504,31,1116,4085,0,410,13616
85,错误自律，是如何毁掉你的工作学习的？你不是懒，你只是方法不对！,https://www.bilibili.com/video/BV1vP4y1m7Tn,彭春花本人,0,132514,559,4463,6641,0,1321,7249
86,怎么隐晦的表示“我要离开了”？,https://www.bilibili.com/video/BV1Ue411V7U3,墨客也,0,812936,748,13285,78049,0,1532,75489
87,船上发现偷渡者怎么办？怎么处理？船长揭秘远洋货轮上的偷渡客！,https://www.bilibili.com/video/BV1Sd4y1k7Ns,西曼船长Seaman,0,256871,1803,3969,9538,0,481,1610
88,张宇：线性代数最后一道大题，我已经暗示的很明显了！（重新上传版）,https://www.bilibili.com/video/BV1Ue4y127Dm,派小星ya_,0,120042,127,1646,4010,0,978,8960
89,老大的确是可惜了，但老四也已经做得足够好了呀,https://www.bilibili.com/video/BV1fG411w7Th,一只玄九尘,0,205657,503,776,19123,0,93,1143
90,不要站在产品的角度讲产品,https://www.bilibili.com/video/BV1WV4y1G7qD,叫我舒老师,0,431428,919,2372,61434,0,1912,16982
91,一个活生生的人就这么被人b疯！,https://www.bilibili.com/video/BV158411Y7oJ,王婆娱乐,0,237076,32,84,15028,0,47,756
92,当00后成为老师，是这样出考卷的！,https://www.bilibili.com/video/BV1hg41187ad,菲菲学姐_,0,626426,71,177,26138,0,710,5320
93,古代七品县太爷生活有多清廉？红木家具还金屋藏娇！竟然喝不起茅台！,https://www.bilibili.com/video/BV1j8411Y7Z9,铁不删,0,399145,173,111,16559,0,29,793
94,天降的大任是“斯”or“是”,https://www.bilibili.com/video/BV1eG4y1h73a,安森垚,0,237570,982,1389,23786,0,2397,1886
95,鉴别网络未知事物212：4种你可能见过，但不知道是什么的奇怪物体,https://www.bilibili.com/video/BV1cR4y1X7eM,无穷小勺子,0,394011,131,51,17369,0,10,739
96,人类 VS 人工智能：第一战已经打响了，谁输谁失业?,https://www.bilibili.com/video/BV1jG411A73Z,赛雷三分钟,0,164516,773,634,18969,0,648,1738
97,办公高手都这样填充序号？,https://www.bilibili.com/video/BV1pe411G7wL,WPS小表姐,0,193237,7,348,7335,0,97,4969
98,医学中的谐音梗,https://www.bilibili.com/video/BV1ze4y147zo,懒人医考,0,215678,26,76,20375,0,485,1949
99,446.blunt 迟钝的,https://www.bilibili.com/video/BV1hd4y1k7RG,趣记考研单词,0,152742,61,58,27228,0,97,2326
