,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,【何同学】快充伤电池？40部手机两年实验，告诉你最佳充电方式,https://www.bilibili.com/video/BV1X8411e7EJ,老师好我叫何同学,0,7227848,32741,1325792,1217783,0,110833,352553
1,全国漂流半年的相机会拍出怎样的照片？(上),https://www.bilibili.com/video/BV1EK411U7uU,-LKs-,0,758090,2908,24413,71227,0,12571,8833
2,好手柄和坏手柄的区别,https://www.bilibili.com/video/BV1fW4y1j7FH,小金鱼e,0,1316183,96,682,27477,0,1495,6453
3,【2022年双十一电脑配置推荐】教你如何用最低预算组装一台全新电脑！小白必看 ！30分钟选对配置2000-5w预算共二十二套配置！,https://www.bilibili.com/video/BV1SD4y1b7TD,搞机所,0,744009,832,4636,45674,0,6260,10983
4,2022年双11电脑配置+鼠标+键盘+手柄+显示器+耳机+硬盘等电脑外设推荐,https://www.bilibili.com/video/BV19g411z7HF,喵喵折App,0,467358,2105,9955,23606,0,6553,8343
5,那个曾经评测过的APP，现在居然。。。,https://www.bilibili.com/video/BV1zG4y1h7w3,小宇Boi,0,587058,402,1306,28576,0,525,8312
6,用10秒钟说好一个故事！限时有奖征集，你的故事能有多精彩？,https://www.bilibili.com/video/BV1Pd4y117dz,影视飓风,0,438758,819,7597,38324,0,5959,5014
7,安卓软件保姆级优化，让你的手机再战三年！,https://www.bilibili.com/video/BV16P411P7QT,晨钟酱Official,0,302557,245,4661,17516,0,566,13921
8,实测某宝26w粉丝的外贸神店，揭开低价尾货的遮羞布，利润实在是太惊人了！,https://www.bilibili.com/video/BV1L14y1L7W9,韭菜实验室,0,412589,1938,6665,27933,0,659,2121
9,【推荐收藏】2022年双十一笔记本电脑选购指南,https://www.bilibili.com/video/BV16D4y1b7zA,笔吧评测室,0,374225,2757,7097,18601,0,6658,3754
10,为什么NASA给宇航员的手套，使了一年全破了？,https://www.bilibili.com/video/BV1814y1L7Vu,豆先生的纠缠态,0,539739,2358,713,17356,0,103,1759
11,好听！周深新歌《奔向你》送给航天人,https://www.bilibili.com/video/BV1rP411P7EQ,中国战略支援,0,133922,1595,14900,20701,0,1992,6852
12,你以为你很懂Edge吗？！,https://www.bilibili.com/video/BV1ye4y147s8,王路飞CP,0,173677,355,6689,9820,0,768,17114
13,自造二战虎式坦克发动机模型，手摇的普鲁士八音盒,https://www.bilibili.com/video/BV1be4y127r2,杰客机械师,0,409594,212,464,21188,0,328,2557
14,性能向左，续航向右。某米手机管家推荐，爆肝测试三天真实验证！红米Note12到手建议安装！倚天剑屠龙刀,https://www.bilibili.com/video/BV1r8411a7He,Willyee惟一,0,265275,81,7448,8242,0,430,6746
15,我证明！新闻里说的是事实！中国空间站真的就像搭积木一样,https://www.bilibili.com/video/BV1a8411Y7Go,凹凸赛克,0,182138,1217,31656,25315,0,1492,6433
16,绝了！这4个黑科技神器，让我无比震撼！,https://www.bilibili.com/video/BV1qt4y1T7ye,老麦的工具库,0,205811,34,1404,8690,0,405,14501
17,Steam如何更换好看的皮肤？,https://www.bilibili.com/video/BV148411Y7SX,绿联数码,0,150387,18,2144,9858,0,568,14330
18,注意看，这些配音和视频，都是AI生成的！,https://www.bilibili.com/video/BV1bP4y1m7rF,玄离199,0,211710,460,2628,9102,0,1197,8975
19,iPhone15换C口/卢十瓦告别/特斯拉马斯克/Xbox要涨价/使命召唤19/战神5【科学吐槽】那岩KJMX@科技美学,https://www.bilibili.com/video/BV1CP411P7ah,那岩KJMX,0,279187,6409,8149,18330,0,352,1496
20,电磨坏了，简单修一下,https://www.bilibili.com/video/BV1CP411w7de,极客匠,0,321933,756,3153,18250,0,3288,1833
21,这五款手机手机必装神器，陷进去就很难再出来！,https://www.bilibili.com/video/BV1EG411L7jo,萌sir壹号,0,396985,253,5162,18748,0,196,39649
22,【短的发布会】铁大真身暗藏玄只因！Redmi首发210w充电直接让“卢十瓦”化为传说？,https://www.bilibili.com/video/BV1XG4y1b7L7,短的发布会,0,274573,722,1447,23496,0,647,949
23,星秦卡pro测评:六边形流量卡的时代开始了？,https://www.bilibili.com/video/BV1Me411F72z,流量卡表哥,0,244301,381,1861,4941,0,2121,5976
