,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,店里敢卖500一只的鸡，自己在家做，能省多少钱？,https://www.bilibili.com/video/BV1WG4y1h7Tt,绵羊料理,0,1992453,13130,71952,210205,0,4111,19048
1,中华面点博大精深，比醒狮酥还难、让老外目瞪口呆的传统手艺是什么样？,https://www.bilibili.com/video/BV1me4y1475b,张虎-中式面点,0,1089133,1693,10933,159526,0,1016,10478
2,老婆：你现在都玩这么变态的吗！？,https://www.bilibili.com/video/BV1ce411G7XR,麟宣森,0,7823933,19112,1482522,1484956,0,21314,256672
3,原 切 猪 肉 & 整 切 花 卷,https://www.bilibili.com/video/BV1jD4y1b7TF,魔鬼厨房Neo,0,837376,603,3243,96262,0,4075,12430
4,《 创 新 蟹 黄 汤 包 》,https://www.bilibili.com/video/BV1Ye4y127rb,记录生活的蛋黄派,0,972687,4522,21334,121195,0,776,5385
5,南昌.时鲜楼滕王夜宴  厨子探店¥945,https://www.bilibili.com/video/BV1Ee4y147NW,真探唐仁杰,0,1157839,2044,1894,88439,0,855,2226
6,一咬就爆浆的鸡胸肉,https://www.bilibili.com/video/BV1vG411A7wQ,澳洲阿彭,0,1420528,927,28532,109898,0,7860,55007
7,小卖部史诗级大片，经费在燃烧！,https://www.bilibili.com/video/BV19e4y1473b,b阿牛小卖部,0,910175,3117,7582,66191,0,8626,10085
8,烤甘蔗 将就吃,https://www.bilibili.com/video/BV14G4y1h7e5,快乐烧烤屋屋长,0,1376538,3180,3850,98657,0,3994,5279
9,15个简单有趣的小食谱～有手就会系列,https://www.bilibili.com/video/BV1XW4y1E7D4,胡仔一人食,0,914850,240,2447,13640,0,668,26556
10,历时两个月，我用巧克力整了一个狠活！！！,https://www.bilibili.com/video/BV12V4y1G73N,赵凯的巧克力王国,0,513547,2342,9819,91034,0,1667,7529
11,在家吃顿旋转火锅 做梦都乐出声了 这也太是那个了,https://www.bilibili.com/video/BV1ed4y1k783,我是晴天-麻辣晴子,0,795064,396,1051,70394,0,7874,4210
12,娃哈哈：我价值几个亿的配方居然让你给破解了？！,https://www.bilibili.com/video/BV1zK411U7Zc,大碗拿铁,0,595933,4067,11369,53788,0,1421,6188
13,厨师长教你：“脆炸无骨鸡柳”的家常做法，外酥里嫩，香辣可口,https://www.bilibili.com/video/BV1mD4y1b7jH,美食作家王刚R,0,574532,1269,5532,41723,0,2297,11215
