,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,🐓鸡你太美，但是团体版🐓【J-wings】,https://www.bilibili.com/video/BV11e4y1e7CY,汤姆的混乱空间,0,3368199,11036,297287,442655,0,101307,129049
1,小僵尸出没！ε-(´∀｀; )神的随波逐流～,https://www.bilibili.com/video/BV1Xe411G7t4,凛子同学提不起劲,0,925618,223,17926,94155,0,4431,30771
2,兄弟们，今天砍谁？,https://www.bilibili.com/video/BV1L84y1i7oz,猛男舞团IconX,0,1029803,1673,32330,125887,0,2557,7045
3,lovepotion,https://www.bilibili.com/video/BV1A8411Y7Tr,蜡笔巴拉巴拉新,0,1347975,729,18369,70953,0,2103,12282
4,学姐也会恋爱告急？！！,https://www.bilibili.com/video/BV1kd4y1k7g3,兔总裁s,0,1671491,2087,12122,60985,0,4739,34532
5,谁还不会个蝴蝶步啦,https://www.bilibili.com/video/BV1Re4y147qx,什锦鼬,0,1182400,235,5990,78892,0,3882,23549
6,想摇摆到你心里❤~wiggle wiggle,https://www.bilibili.com/video/BV1CP411P7g2,Tocci椭奇,0,549379,443,4915,23247,0,1351,21240
7,再选一次吧 白色 or 黑色 ？,https://www.bilibili.com/video/BV1ue4y1v7YE,小野-w-,0,513780,110,4251,21204,0,1123,18177
8,You(＝I）猛男必看的甜妹舞,https://www.bilibili.com/video/BV1184y1i7MM,周一萌,0,276805,17,1865,16999,0,865,19548
9,【其其】｜GIDLE Nxde｜8套换装竖屏翻跳｜你从第几套开始心动～,https://www.bilibili.com/video/BV1KD4y1b7Qk,一个其其kiki,0,889048,554,18556,168590,0,4630,35770
10,当平时默默无闻的同学突然跳起了极乐净土……,https://www.bilibili.com/video/BV1Vm4y1w7Ab,浮云上打个盹,0,6527244,6103,83158,531213,0,19249,117194
11,在上海狂风的夜晚起舞,https://www.bilibili.com/video/BV1wD4y187kE,小心头-小意头,0,449879,151,1427,63256,0,494,7084
12,【刘雨昕】这就是街舞5｜掀衣露腰引燃Afro热浪 热情奔放看刘队长舞力值满载,https://www.bilibili.com/video/BV14G4y1h7LP,刘雨昕工作室,0,246485,16911,16729,12584,0,26657,9557
13,法国舞者尤安尼·布尔热瓦 观众视角,https://www.bilibili.com/video/BV1NP411P7aG,纯路人茉日天,0,1002197,725,4952,92640,0,12675,26052
14,【宵鱼鱼】粉色小恶魔尽情摇摆❤️shake it,https://www.bilibili.com/video/BV1yt4y1T7A9,宵鱼鱼,0,258047,186,2487,12292,0,541,11960
15,香草抹茶味热恋冰淇淋！究极社死体验,https://www.bilibili.com/video/BV1J14y1L75A,富婆七奈,0,211912,177,1761,15266,0,433,9967
16,我朋友帮我拍了四十几遍才抓拍到最后一幕……,https://www.bilibili.com/video/BV1FD4y1b7uX,是大莹子哟,0,1713124,199,3310,155178,0,1909,25337
17,一镜到底竖屏 ❀桃花旗袍❀,https://www.bilibili.com/video/BV1714y1L7xi,吴尽意,0,132941,17,1500,10575,0,286,15174
18,深陷于美丽深邃的眼神 屏住呼吸 欢迎光临 【LOVE DIVE-IVE】,https://www.bilibili.com/video/BV1ug41167rd,竹笙Zoe,0,191227,51,2013,11782,0,414,13144
19,不给糖就去你家捣蛋啦～｜T-ara《so crazy》舞蹈翻跳,https://www.bilibili.com/video/BV1dK411U7XU,比熊比熊小,0,144083,68,1710,10775,0,325,11145
20,青春女高！放学后talk that talk一下,https://www.bilibili.com/video/BV1X8411a73Z,好困好想睡觉1,0,165519,9,1072,12322,0,1052,8874
21,【Pretty】可 爱 猫 咪 小 嘉 然 ！❤,https://www.bilibili.com/video/BV1Uv4y1S7Zg,嘉然今天吃什么,0,104715,344,8473,16509,0,1155,3322
22,【鱼肉肉】Lovepotion宅舞 小飞棍摔咯~,https://www.bilibili.com/video/BV1g8411e7WA,鱼肉肉pabo,0,5668070,1690,75896,716609,0,14288,118054
23,你的老婆萨勒芬妮来给英雄联盟s12应援啦！Childhood dreams 【原创编舞】,https://www.bilibili.com/video/BV1a84y1i7P2,李礼礼可欣,0,205824,114,653,6400,0,353,5246
24,这街最强女队长！刘雨昕热情Afro撩到你腿软！,https://www.bilibili.com/video/BV1V84y1i7Mf,暮色TWILIGHT丨刘雨昕,0,120384,6115,9765,7526,0,11433,5175
25,挑战最晚电摇_(:зゝ∠)_,https://www.bilibili.com/video/BV13V4y1G7mj,怎么这样的呐,0,288819,35,433,21561,0,266,5469
26,【龙冽】万圣节猫女来捣蛋啦！underwater！,https://www.bilibili.com/video/BV1SV4y1g7hn,龙冽,0,91315,126,1279,6983,0,233,10072
27,别怕， 海月姐姐来鲨你 了,https://www.bilibili.com/video/BV1Ae4y1m7Sr,紫颜-小仙紫,0,488414,896,10034,29372,0,1311,17938
28,【哔哩舞社X苏司喵】(G)I-DLE《Nxde》全曲舞蹈教程 综合位 简单零基础可冲！,https://www.bilibili.com/video/BV1RK411U73y,苏司喵susiemeoww,0,95059,117,1853,5949,0,343,7021
29,超近竖屏！！成人礼，但修女 【4K】,https://www.bilibili.com/video/BV1LG411A7mC,_可心_,0,56563,16,687,6388,0,158,8398
30,蝴 蝶 步！但寝室楼版～,https://www.bilibili.com/video/BV1xD4y1b7GZ,奶酪芝士味雪糍,0,77077,232,631,8286,0,114,5599
31,约 尔 太 太 今 天 蹦 迪！【醋醋】,https://www.bilibili.com/video/BV1K84y1i7B3,醋醋cucu,0,88904,105,1520,10921,0,152,3669
32,与你的老婆萨勒芬妮一起破次元吧~❤️妖精的尾巴OP15【未南】,https://www.bilibili.com/video/BV1fD4y1b7wQ,未南_nana,0,119750,347,958,5298,0,179,5324
33,"只要还在穿吊带, 夏天就没有结束! ♥ 小城夏天",https://www.bilibili.com/video/BV1T8411Y7ut,小份夹心呐呐酱w,0,67522,217,644,5301,0,95,6681
34,这次视频够长了吗,https://www.bilibili.com/video/BV1jd4y1y7YE,一朵大左左,0,167566,157,3246,63127,0,1167,19104
35,这才是运动会的热血【舞社&摄协】,https://www.bilibili.com/video/BV1Tg41167cg,龍中摄影协会,0,134646,242,1025,4534,0,1779,3106
36,不给糖就捣蛋！【Happy Halloween】,https://www.bilibili.com/video/BV1E84y1i7Cw,鱼子酱不能睡懒觉,0,86599,49,1568,7481,0,165,4087
37,只因兄弟结婚，我们整了个顶级好活,https://www.bilibili.com/video/BV1TW4y1H7zy,Kuma_熊桑,0,5688986,11080,459773,730989,0,70069,188268
38,注意看！这个双马尾学妹叫小美！,https://www.bilibili.com/video/BV1og411z7S5,咝小喵MAO,0,43562,12,897,6720,0,147,6592
39,自从跳街舞后走路越来越帅了,https://www.bilibili.com/video/BV1N8411Y7yE,肖青天,0,179171,79,86,5895,0,225,513
40,"⚡优雅黑天鹅⚡ ""NXDE""绝美翻跳 (G)I-DLE",https://www.bilibili.com/video/BV1cD4y1872j,郁小漓,0,71516,50,633,5504,0,98,6754
41,Oh!!是甜辣老婆萨勒芬妮~,https://www.bilibili.com/video/BV1sG4y1h71Y,小巫酱w,0,225230,584,1746,11797,0,246,7995
42,蹭个蝴蝶步热度(･_･;原相机,https://www.bilibili.com/video/BV1ut4y1M7eg,咖纳o,0,74896,235,535,5748,0,146,4486
43,看了不点赞 玩欲擒故纵是吧,https://www.bilibili.com/video/BV1WK411U7bh,柔术敏妹儿,0,326276,191,1153,66124,0,3041,3200
44,来个《小城夏天》的直拍叭,https://www.bilibili.com/video/BV1Kt4y1M7Li,一颗臻果粒橙,0,106544,26,172,13645,0,187,1022
45,【岚西】'Nxde'🎃来参加魔女的舞会【万圣夜限定】,https://www.bilibili.com/video/BV1TV4y1V7Lv,岚西啊喵,0,45694,119,658,4634,0,147,5693
46,我是乖乖鬼👻不会捣蛋只会跳舞❤【Happy Halloween】,https://www.bilibili.com/video/BV1H84y1i7jF,CoCo都可官方,0,185055,287,2037,12830,0,1838,11027
47,在学校体育节开幕式上跳⭐️黑⭐️帮⭐️摇⭐️,https://www.bilibili.com/video/BV1MG4y1H7SM,居湖-划水,0,1622931,1073,10258,187830,0,10853,25884
48,你班没有文体委员给你跳极乐净土吗？,https://www.bilibili.com/video/BV1ot4y1u7Zd,Ww-忘忧啊,0,1183029,642,2906,36616,0,12396,12996
49,✨摇 啊 摇～ ❤️要与我共赴这曼妙的夜晚吗？,https://www.bilibili.com/video/BV1me4y1y7J4,御坂猫猫neko,0,50755,133,671,4793,0,84,5108
50,万圣小僵尸出没咯🎃【元气少女缘结神】,https://www.bilibili.com/video/BV1fG4y187Qt,曈话Nichole,0,58836,34,494,5220,0,123,4585
51,甜妹！甜妹也要恋爱告急！,https://www.bilibili.com/video/BV1te4y1271x,_糖小V_,0,47895,246,889,4936,0,77,5087
52,是你的老婆萨勒芬妮吗❤childhood dreams,https://www.bilibili.com/video/BV1jm4y1c7c3,青鸢Cyan-,0,96632,53,389,4893,0,94,2779
53,III Tolu Ting Antenna lll这就是健康身材吗,https://www.bilibili.com/video/BV1Xv4y1S7rX,小金鱼kimyve,0,187594,194,1279,10185,0,322,9832
54,这么多可爱的小僵尸谁又能拒绝呢，嬉戏谷的僵尸小姐姐来了，万圣节遇到她们怕不怕,https://www.bilibili.com/video/BV1vG411A71v,笙青柠檬檬哒i,0,125264,8,108,4304,0,3319,2989
55,【西望Green】拯救内娱之《Nxde》二杀,https://www.bilibili.com/video/BV18e4y147f4,西望Green,0,108172,125,387,14292,0,723,632
56,【白小白】暗黑魅惑《万物起舞》编舞课堂直拍版,https://www.bilibili.com/video/BV1Me411V7aq,Ticki白小白,0,1912689,941,18400,304144,0,14672,61792
57,摆脱社恐第一步（新皮肤）,https://www.bilibili.com/video/BV1Pe411G7KF,蔡蔡子的双马尾,0,781629,210,1229,65146,0,1072,16842
58,这样的派对可能真有点危险 危险派对舞蹈 小鑫编舞,https://www.bilibili.com/video/BV1Rd4y1C7kM,梁先森la,0,879926,1100,12562,152619,0,27513,35771
59,会有人不喜欢玛奇玛？硬撑罢了！,https://www.bilibili.com/video/BV1uP4y1S7ps,舞小喵,0,103509,182,1417,7909,0,217,3513
60,西班牙街头蹦迪，但是一镜到底,https://www.bilibili.com/video/BV1Ct4y1T7vu,仙女110,0,90502,201,2120,7544,0,80,969
61,省 流 ：不 看 后 悔,https://www.bilibili.com/video/BV1yt4y1u7Gk,表情包Aliga,0,246368,75,2016,34743,0,410,7724
62,【鱼鱼x典典子】双份甜妹，邀你蒸汽朋克探险~,https://www.bilibili.com/video/BV1HG4y1b7R5,平安小财娘,0,415303,607,5592,40468,0,3984,12407
63,小恶魔来喏～快点给糖糖❤嗷呜,https://www.bilibili.com/video/BV1Yd4y1k78e,Pinkkoi少女梦,0,46845,163,437,3962,0,97,4998
64,【优瑞可】万圣节的呆萌蝴蝶步～但是库洛米版（拍出了看起来不太聪明的亚子）,https://www.bilibili.com/video/BV1p84y1i7PC,优瑞可kk,0,42598,14,469,5559,0,83,5019
65,赵美延 x 宋雨琦 x 闵京勋《(G)I-DLE - Nxde》舞蹈视频公开！,https://www.bilibili.com/video/BV1184y1i7Cc,爱豆安利所,0,105283,33,20,7294,0,520,474
66,内娱练习生开麦Cover NMIXX-Dice,https://www.bilibili.com/video/BV1ke4y127X7,TOPTEENS-秀玲秀婷,0,78534,288,1827,7172,0,604,1164
67,这么可爱的小僵尸，咬你一口怎么了~,https://www.bilibili.com/video/BV1kd4y1k7SH,慕慕有奶糖,0,108017,141,1068,9975,0,140,7198
68,在家热舞，摇出夏天！,https://www.bilibili.com/video/BV13K411S7My,-王汉堡-,0,62591,24,306,5768,0,74,2242
69,万圣节小恶魔来袭♥Sweet Devil~,https://www.bilibili.com/video/BV1aG411A721,小袜子爱雪宝宝,0,51909,35,384,11738,0,125,7744
70,你想选白天鹅or黑天鹅？❤满月❤月亮升起时来爱我吧~//换装翻跳【楚鸢】,https://www.bilibili.com/video/BV1BP4y1S7Xz,楚鸢鸢吖,0,34635,126,431,3406,0,56,3841
71,这么甜的舞，快叫上你的朋友一起跳,https://www.bilibili.com/video/BV1Ae4y1t7ii,王昀臻,0,84496,29,140,8698,0,153,404
72,你好，初见，结芬❤Girls,https://www.bilibili.com/video/BV1n84y1i7Hr,西媤鼠鼠鼠鼠呀,0,27711,110,354,3214,0,37,4165
73,还挺开朗的,https://www.bilibili.com/video/BV15G4y1n71S,废话大王赖小赖,0,1796300,199,15277,197916,0,8407,68129
74,咬一口又白又甜的~竖屏冰淇淋,https://www.bilibili.com/video/BV1wD4y1871R,居居boom,0,21980,15,429,3309,0,50,4021
75,不给糖就把你变成🎃！,https://www.bilibili.com/video/BV1Fd4y1w73i,聚划算,0,38203,1213,1242,4887,0,2076,2633
76,【(G)I-DLE】[练习室版本] - 'Nxde',https://www.bilibili.com/video/BV1pg41187Jo,GIDLE_official,0,968106,3475,16968,75441,0,5865,30703
77,蜜加原创手指舞《采薇》,https://www.bilibili.com/video/BV1uD4y1k781,蜜加原创手指舞,0,749051,1735,8181,68962,0,6805,22293
78,小时候一直以为“你是我的猪大哥”,https://www.bilibili.com/video/BV1hW4y1j7AC,我是真的张與息,0,57112,13,626,11281,0,13,160
79,【万 圣 节】不 给 糖 ❤ 就 捣 蛋,https://www.bilibili.com/video/BV19V4y1G7gp,变态辣惠子酱,0,35453,11,288,3538,0,44,3672
80,修 女 ，但 是 蝴 蝶 步,https://www.bilibili.com/video/BV1dv4y1S7rn,立盐盐,0,53924,11,308,5171,0,71,4340
81,【郑雅文】是女帝但傲慢舞 万圣节cos汉库克❤,https://www.bilibili.com/video/BV1ie4y147TV,一只郑雅文,0,37775,270,216,2883,0,42,3298
82,【德洛丽丝|竖屏】白丝辣妹出击 放弃抵抗吧~只是长胖4minute,https://www.bilibili.com/video/BV1714y1L7TA,_德洛丽丝,0,32021,114,354,2898,0,44,3420
83,[4K]视觉盛宴！这才是虚拟偶像！双人实力唱跳《PINK VENOM》,https://www.bilibili.com/video/BV1qP4y1m7HC,露早GOGO,0,23145,153,3123,4822,0,397,1429
84,又在你的心上纵火❤EXID—Fire,https://www.bilibili.com/video/BV1qP4y1m7JP,一只大王哀,0,129905,374,1264,8980,0,234,8755
85,怪奇物语变装,https://www.bilibili.com/video/BV1AK411X7Fn,Zhang_Jinming,0,4093009,1003,31421,524493,0,14111,59097
86,【LESSERAFIM】全网最还原雪之女ANTIFRAGILE 路演翻跳 | 不如趁着上头，一起反脆弱,https://www.bilibili.com/video/BV1wd4y117En,妈妈我考上985啦,0,50677,276,1335,5825,0,371,1201
87,【周淑怡x咬人猫x欣小萌】❤️  三人一起！爱你！,https://www.bilibili.com/video/BV1GG4y1W7qr,=咬人猫=,0,9274944,13390,246109,602542,0,95834,190154
88,反正b站没人认识我（放纵,https://www.bilibili.com/video/BV1MD4y1y7rZ,懒人阿光,0,1126995,5809,11412,141661,0,3381,10697
89,真相只有一个！,https://www.bilibili.com/video/BV1We4y127eZ,Diana_圣帝,0,151180,16,519,14425,0,238,4878
90,佳衣丨LUV️ 甜美及优雅,https://www.bilibili.com/video/BV1PK411S7A9,佳衣蘸酱,0,50368,43,264,4244,0,52,5261
91,【明日方舟】我去！凯尔希跳舞！｜Running In The Dark【原创编舞+翻跳】,https://www.bilibili.com/video/BV1Qe4y1e7wf,齐藤澜澜子,0,104846,98,2015,14081,0,617,4404
92,猎物已锁定💖辣妹上线！《TOMBOY⚡️》,https://www.bilibili.com/video/BV1rP4y1S7ZK,爱玛电动车官方账号,0,47127,268,1039,2608,0,1273,2155
