,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,在平衡板上唱个歌吧？可能是月亮不会眨眼星星不会说话 让你觉得孤单啦,https://www.bilibili.com/video/BV1eW4y1j7f6,刘逗逗不怎么逗,0,577642,251,4573,78005,0,1728,8588
1,"【史上最痛!】拯救我持续5年的""腰肌劳损""!（含自救方案）",https://www.bilibili.com/video/BV1wd4y117xL,帅soserious,0,844721,1331,15578,33148,0,7694,27173
2,减肥必看，捡肥圈的三大潜规则！,https://www.bilibili.com/video/BV16W4y1j7DE,吴彦祖秃顶版,0,552747,1123,3352,64622,0,4117,1373
3,《出手就是沉默大招》,https://www.bilibili.com/video/BV1GP411P7AQ,路人王篮球,0,840796,207,803,80683,0,1836,8963
4,嘴上说着不敢想，结果冠军拿的比谁都多！,https://www.bilibili.com/video/BV1TV4y1V7R5,荒草音乐,0,496554,321,2084,76153,0,207,2341
5,“飞盘，那不是狗玩的吗？”,https://www.bilibili.com/video/BV1Re4y127os,Yui柯基大聪明,0,1032688,1393,1582,32173,0,726,2954
6,最推荐球鞋，200-1000+价位，2022版,https://www.bilibili.com/video/BV1Kd4y117JJ,XCin_,0,358271,3033,11184,20544,0,2163,9495
7,跳远为什么不能前空翻？盘点那些被禁用的赛场黑科技！,https://www.bilibili.com/video/BV18t4y1T7zu,体育在读生,0,1225615,55,89,9196,0,44,2081
8,“破罐破摔-篮网队”,https://www.bilibili.com/video/BV1s8411Y7Z1,皓篮球,0,353464,208,1410,32282,0,1391,1129
9,姆巴佩浪费内马尔的这个助攻 让世界足坛留下遗憾,https://www.bilibili.com/video/BV1eK411U75u,咪咕体育,0,419378,167,1251,14232,0,10439,2606
10,【众测有效】适合只能或只想站着减肥的人|大体重友好|走瘦1-7强化,https://www.bilibili.com/video/BV19e4y147A5,叶的冒险,0,124193,487,4315,5169,0,1329,17292
11,肩颈侧着推，舒服到起飞。 #按摩手法 #推拿按摩 #肩颈,https://www.bilibili.com/video/BV13v4y1D7ao,脊功夫,0,85141,43,1478,9901,0,2286,14706
12,上海武康路挑战，小姐姐们都太猛了，感觉今天要破产,https://www.bilibili.com/video/BV1ce4y127Lj,PT健身华哥,0,941179,261,410,1927,0,810,2164
13,【骑车偶遇｜搭讪方式绝了】,https://www.bilibili.com/video/BV1mG4y1h7tb,行走江湖的果七,0,353525,104,171,12628,0,300,945
14,《鹏友别慌》第一期，浅谈三威胁,https://www.bilibili.com/video/BV1eP411P7R7,孙那个鹏,0,254494,200,1887,28919,0,433,4837
15,大学生才懂的虚荣心,https://www.bilibili.com/video/BV1jG4y1h7Kf,小B仔_,0,2142375,588,2131,120217,0,712,8657
16,不是你想的那样，听我们解释！,https://www.bilibili.com/video/BV1cm4y1c7Pu,俊鸿,0,957166,233,2123,24719,0,181,2243
17,热搜第一!林孝埈世界杯首秀成功晋级!韩网友彻底“炸锅”,https://www.bilibili.com/video/BV1ke4y147ra,小a娱乐,0,329530,219,73,11684,0,72,506
18,好事多磨,https://www.bilibili.com/video/BV1DP411N7cz,妖腰木,0,4355018,3966,31854,275419,0,27133,50864
19,黄金切尔西纪录片②——切尔西的渗透,https://www.bilibili.com/video/BV1rG41177RX,小梗人物纪录片解说,0,5345767,265,5286,83239,0,6806,130430
20,何时才能罚球线捞月！？,https://www.bilibili.com/video/BV1sP411P7zZ,李和旭-5,0,301557,64,1980,19532,0,1140,1870
21,想要更快甩掉腰间赘肉，做这个运动（无跑跳）,https://www.bilibili.com/video/BV15R4y1Q7xD,詹木丝儿fit,0,963045,2607,29556,45075,0,7054,132713
22,用科学打破次元壁！我终于成为了我梦里的剑客！,https://www.bilibili.com/video/BV1fg411h7rP,剑客范十三,0,5511701,1910,138515,373658,0,1996,97364
23,用实力打破一切质疑你的人，让质疑你的人永远闭嘴。,https://www.bilibili.com/video/BV1Nt4y1M7Z9,錕哥哥,0,366007,22,79,5033,0,68,229
24,WWE老板娘被打成重伤，红魔凯恩彻底失控,https://www.bilibili.com/video/BV1dP411A7A8,爱摔角,0,1693849,1,482,1766,0,7,10087
25,精彩的英超！逆转，绝杀，爆冷！德布劳内完美任意球，布莱顿大胜切尔西，利物浦被绝杀，热刺让二追三！,https://www.bilibili.com/video/BV1QD4y1b7CX,隔壁红魔,0,213585,1256,4147,17520,0,212,718
26,黑坑盘老板，螺蛳钓大青。还好我跑的快...,https://www.bilibili.com/video/BV1FR4y1X73T,格小格爱钓鱼,0,332216,357,237,4951,0,54,406
27,给军训教官来了一波“反向军训”,https://www.bilibili.com/video/BV1Yg411z7rF,平常心-myd,0,250228,57,170,19938,0,54,506
28,西蒙斯终于选择了自己投！,https://www.bilibili.com/video/BV13G411A7hH,篮球人追梦,0,399618,24,42,17594,0,150,368
