,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,论一个Bbox全国冠军用嘴巴模仿歌曲有多像,https://www.bilibili.com/video/BV1te4y147QZ,是删青啊,0,1499197,1243,14678,240485,0,5520,27281
1,《明日方舟》2022「音律联觉-灯下定影」幕后制作记录,https://www.bilibili.com/video/BV1h14y1L7UV,明日方舟,0,602561,842,48419,85771,0,10753,13749
2,《二胡锯木头》,https://www.bilibili.com/video/BV1Vv4y1D75T,DDREAM゜,0,807518,70,4036,91932,0,951,27997
3,【Faye詹雯婷x张远】《嘉宾》,https://www.bilibili.com/video/BV1eG411A7QF,张远Bird,0,629603,2379,27072,40474,0,14413,16284
4,写歌就像造人一样简单？那我们来造个歌吧！【原创《失语症》】,https://www.bilibili.com/video/BV1QD4y1b7Nh,阿健在写歌吗,0,368801,557,14693,76709,0,1796,21311
5,《生人勿近》很凶很炸很中二！早睡的慎点,https://www.bilibili.com/video/BV1CK411U7BA,INTO1-刘彰,0,250966,24909,28513,25702,0,43186,12494
6,你从未离去，就在这里。,https://www.bilibili.com/video/BV1vP4y1m7fE,九三的耳朵不是特别好,0,486813,597,17878,43446,0,2923,11797
7,【私藏馆】陈势安《天后》经典K歌金曲！唱哭无数人的神曲,https://www.bilibili.com/video/BV1V84y1i7jN,音乐私藏馆,0,561766,1790,7081,40792,0,2985,11423
8,【忘川风华录·嬴政】始见千秋【苍穹/赤羽/星尘infinity/海伊原创】“虎视何雄哉”,https://www.bilibili.com/video/BV1JG4y1b7oB,忘川风华录,0,291662,1357,31390,35298,0,7439,22077
9,【四神】穷开心,https://www.bilibili.com/video/BV1Rm4y1F7xK,巫兔菌,0,337667,365,5405,47709,0,3037,11528
10,『危险情歌王2』今年爆火的35首热歌丝滑大串烧！,https://www.bilibili.com/video/BV11K411U7D2,陆鳐LuLu,0,351217,831,13813,39453,0,1289,17252
11,"突发！小白Diss开火那奇沃夫""最红的一首歌还是蹭JonyJ的话题""",https://www.bilibili.com/video/BV1T14y1L7w6,街头社区,0,579776,1515,4293,23673,0,8158,5693
12,《Teeth》| 你言语甜蜜，但心如利齿般锋利,https://www.bilibili.com/video/BV1BG4y1h7yX,罗伊_Roi,0,102957,1370,17587,23203,0,3744,14403
13,【狂想计划×吴磊×赵乾景】《仿生》 |“乔装我的思索 谁尽力仿生”,https://www.bilibili.com/video/BV1zd4y1k7Mu,赵乾景_Simon,0,118441,2010,14706,22134,0,4547,10213
14,家里来了只眼镜蛇，还好我会吹唢呐,https://www.bilibili.com/video/BV19g411z7ma,浑元Rysn,0,299180,391,1931,47964,0,1295,1940
15,为诺旧誓赴生死，MANTA民国风单曲《思无字》正式发布，掀开前尘往事！,https://www.bilibili.com/video/BV1nP411P7qY,MANTA官方频道,0,120811,2332,12983,20206,0,4670,11762
16,"帕格尼尼""Sell Out""正式版MV",https://www.bilibili.com/video/BV19m4y1F7KW,TwoSetViolin双琴侠,0,186008,1625,18069,20066,0,6192,6393
17,京东晚八点音乐会 | 蔡徐坤《曾经的你》,https://www.bilibili.com/video/BV138411h7mD,京东,0,443982,9429,6006,15458,0,16173,3756
18,你听过他的歌吗？歌曲难度系数太大，令无数人感叹只能听不能唱,https://www.bilibili.com/video/BV1TG411A7GL,残梦祭流年,0,458926,231,259,22579,0,36,2053
19,【周深这首歌，献礼航天】奔向你，逐梦苍穹，奔向未来！,https://www.bilibili.com/video/BV1md4y1k7aD,新华网,0,90243,2626,17781,18529,0,2688,8178
20,九种语言版《爱人错过》：我肯定在几百年前就说过爱你 只是你忘了 我也没记起,https://www.bilibili.com/video/BV1uG411A78R,TheMix多语种乐团,0,380591,549,8973,25068,0,2203,6425
21,LE SSERAFIM最新回归曲ANTIFRAGILE 校服版公开,https://www.bilibili.com/video/BV14e4y127iR,pcyxjy,0,321328,716,1169,18422,0,1782,5162
22,汪苏泷新专辑《联名》，词曲全包揽，自己却一首也没唱,https://www.bilibili.com/video/BV1AG411A71B,蛋蛋Music,0,362553,318,620,23335,0,317,3640
23,假如皇上听了疯丫头主题曲《彩色翅膀》,https://www.bilibili.com/video/BV1mD4y1b7J6,奶茶小肥仔,0,217716,149,2162,34556,0,9200,5147
24,【原创纯音】我写了一年，您可以来听一分钟吗？,https://www.bilibili.com/video/BV1Gd4y1c7Uy,修改昵称的硬币不够,0,169261,770,15710,26681,0,382,7868
25,假如把《Luv Ltter》倒过来弹,https://www.bilibili.com/video/BV1x14y1L7UB,路灰气球z,0,125383,113,1153,39497,0,250,11930
26,杨坤x马嘉祺《要你管》1080p我们的歌第四季,https://www.bilibili.com/video/BV12W4y1j7JK,你好箩卜,0,209790,3534,3512,16267,0,13724,7126
27,【我们的歌4】林志炫feat.黄霄雲《千年之恋》无限轮回版,https://www.bilibili.com/video/BV1Te4y1v7yF,林志炫,0,271607,1473,6793,13906,0,1935,3909
28,异国两年还是分手了 去刚在一起的地方 唱首歌给她,https://www.bilibili.com/video/BV1kG4y1h7bp,街头艺人小高,0,264314,372,8540,19639,0,762,1755
29,谁说弹钢琴可以变优雅，钢琴在他这会抑郁的,https://www.bilibili.com/video/BV15g411a7d2,娱圈班主任,0,6631517,5344,40628,352586,0,67238,246160
