,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
0,鸡 你 太 美 官 方 M V,https://www.bilibili.com/video/BV178411Y7QB,哦呼w,0,7612982,11696,616399,1030630,0,300531,438743
1,《当代互联网现状》,https://www.bilibili.com/video/BV13e411G7a1,女孩为何穿短裙,0,2160441,6055,109226,275178,0,65077,73894
2,《我肯定在几百年前就不爱学习》,https://www.bilibili.com/video/BV1914y157ML,AB鲜,0,3856160,4160,176111,418402,0,40764,102762
3,警察：你接着说，我在听,https://www.bilibili.com/video/BV14K411U7fJ,深海色带鱼,0,5957123,1777,94124,417150,0,29867,100939
4,【你有毛病吧】轮到识宝来给大家洗脑了！！,https://www.bilibili.com/video/BV1RR4y1Q7Wk,可靠de伏特加,0,309889,143,17707,50690,0,7148,22800
5,"""地铁跑酷,但是...""",https://www.bilibili.com/video/BV12W4y1E7jy,我叫瞬哥qaq,0,876872,1208,13763,101455,0,1531,27727
6,万  圣  只  因,https://www.bilibili.com/video/BV1uV4y1V71m,万灵缝合厂,0,379900,963,8411,45901,0,3371,9789
7,父 慈 女 孝,https://www.bilibili.com/video/BV1fR4y1Q7db,仙道居士,0,397677,635,22789,37491,0,1467,6284
8,穿 搭 巅 峰 对 决,https://www.bilibili.com/video/BV1AG411j7KZ,卑鄙的南瓜骨头,0,1211676,881,1822,79216,0,1958,8021
9,鸡因突变器,https://www.bilibili.com/video/BV1eG4y1h7qW,罪恶岛市,0,395792,754,10033,27086,0,6778,6246
10,【鬼畜大电影】熊出没之整活时代（86分钟纯享版）,https://www.bilibili.com/video/BV1We4y147db,老方是熊,0,239040,3932,10557,22171,0,2162,16361
11,史上最不讲武德大乱斗,https://www.bilibili.com/video/BV1vd4y1k7Ms,次级英雄娄不凡,0,469433,878,7330,30769,0,2369,3749
12,皇上驾崩的原因找到了,https://www.bilibili.com/video/BV1Qd4y1y7t8,不愿透露姓名的哔哔吧哔啵比女士,0,452087,1082,3205,26050,0,19905,4848
13,《我肯定在几百年就是失败的man》,https://www.bilibili.com/video/BV1me411G7cF,圆圆的滚滚h_,0,361621,371,1803,27329,0,1702,4630
14,L  ❓  L,https://www.bilibili.com/video/BV1HK411U7tx,一只胖头鱼o,0,364611,422,6944,19121,0,4979,2966
15,臣 妾 要 告 发 3.0,https://www.bilibili.com/video/BV1QD4y1b72d,一只摩羯菌,0,474037,1053,4608,39890,0,7458,4798
16,硬 核 卧 底,https://www.bilibili.com/video/BV1yt4y1u7Zd,阿攸丶,0,1250531,755,1853,86273,0,1138,9207
17,全世界都在亲卷宝！,https://www.bilibili.com/video/BV1TV4y1V7sM,小猪P_,0,252911,131,3761,22294,0,1957,2552
18,快 银 . 蓝 色 妖 姬,https://www.bilibili.com/video/BV1RG4y1n7EV,小猪要吃好果子,0,3615077,1338,15601,137770,0,12574,26617
19,这是我弟弟绳之以法,https://www.bilibili.com/video/BV1eW4y1j7Jq,冬河苑魚谷,0,175381,174,1559,16691,0,2872,4903
20,服务员：你 们 食 不 食 人 啊 ！,https://www.bilibili.com/video/BV1gP4y1S7RW,铭湫锅锅,0,760832,215,552,28185,0,661,2585
21,【猪 B 制 冰 师】,https://www.bilibili.com/video/BV13P4y1m7bb,海绵宝宝双马尾儿,0,182826,945,18651,19715,0,5521,6184
22,“我肯定在几百年前就判过你刑”,https://www.bilibili.com/video/BV1SP411A7Lv,自动鬼畜中的WZ,0,225769,320,6622,24277,0,2789,4686
23,师 傅 去 哪 儿,https://www.bilibili.com/video/BV1ZW4y1j7k8,桥北小书生,0,140806,379,6687,12570,0,595,1753
24,“还有十分钟才考试，来得及”,https://www.bilibili.com/video/BV1ve4y1S7W6,洛温阿特金森,0,3645942,1353,120872,468041,0,93079,129658
25,“表姑……的表弟是我爸”,https://www.bilibili.com/video/BV1Se4y127NF,咆哮丶土拨鼠,0,195352,134,983,9689,0,240,1008
26,《我肯定在🐔百年前就说过__》,https://www.bilibili.com/video/BV1PK411D7qM,一秒钟都不会来,0,1430482,1419,24243,142787,0,23520,49890
27,西游记破解版,https://www.bilibili.com/video/BV12K411D7rt,Chenjin图,0,369125,614,1251,21044,0,1838,3078
28,你可以偷召唤器 但是你不能踩我的切尔西,https://www.bilibili.com/video/BV1Xm4y1w7Pd,抹茶旦旦咕咕咕,0,959287,43,330,45192,0,1522,2641
29,臣 妾 忘 了 要 干 什 么,https://www.bilibili.com/video/BV1Je411G7jU,一只小蜂鸟,0,258440,248,2065,16697,0,3202,4015
30,【马戏团】⚡素 颜⚡,https://www.bilibili.com/video/BV12e4y127vw,高三泡,0,282428,153,2898,11726,0,554,2056
31,⚡学 鸡 叫⚡,https://www.bilibili.com/video/BV1ot4y1T75j,卑比巴卜,0,97828,201,2193,7366,0,2780,3012
32,无论我怎么加速，他都始终快我半个翘臀  —— 博尔特,https://www.bilibili.com/video/BV1XN4y1c7XR,爱鲲头子_,0,2957210,2052,23533,173460,0,31865,38820
33,张三らくらく安楽死,https://www.bilibili.com/video/BV1JN4y1w7wY,白勺啊达,0,896486,653,21490,163473,0,7183,55572
34,来自不同国家的ikun 2,https://www.bilibili.com/video/BV1SP411A7nt,城之悠二,0,506075,1459,9453,54742,0,4663,16405
35,🏃愣子版神庙逃亡🏃,https://www.bilibili.com/video/BV11e411G7Jk,增殖的发呆,0,165778,81,133,8691,0,541,1679
36,【穿山甲】葫芦娃,https://www.bilibili.com/video/BV1FR4y1R7Ao,走音的五月,0,99607,195,2182,33094,0,757,8280
37,我说timing啊! 懂不懂中文啊！,https://www.bilibili.com/video/BV1ye4y1E7si,OELoop,0,4767670,1434,10363,231167,0,23298,28926
38,“只为人生不重来，何不放开怀”,https://www.bilibili.com/video/BV1oV4y1g7zJ,夜雨星繁y,0,58059,264,3913,5383,0,517,2207
39,【马戏团】⚡说走就走⚡ （你怎么知道我有一把金钥匙）,https://www.bilibili.com/video/BV1iW4y1j75e,虾仁蒸饺z,0,92391,122,3199,5886,0,128,827
40,道道子和理理美的日常4,https://www.bilibili.com/video/BV1YV4y1g7Y5,D_dsa,0,98202,293,2643,9863,0,1967,2536
41,新 生 化 危 机,https://www.bilibili.com/video/BV1DG4y1h7Zs,三木刃,0,85229,226,1314,9140,0,195,845
42,Shape OF Gold,https://www.bilibili.com/video/BV1KG411A7Vi,山楂还没熟,0,75098,62,1192,7037,0,281,1593
43,看几遍都觉得好笑哈哈哈,https://www.bilibili.com/video/BV1sP411A7Si,碧天蓝钻,0,1387058,336,2359,72956,0,2766,8237
44,⚡科 技 与 狠 活⚡,https://www.bilibili.com/video/BV18d4y1y7gR,还有一天就放假了,0,321435,141,2056,36779,0,1249,5204
45,《中国话》，但是谷歌翻译20次,https://www.bilibili.com/video/BV1at4y1T79Y,玛珂娜,0,82659,877,700,6704,0,578,1916
46,《我肯定在几百年前就是个俊后生》,https://www.bilibili.com/video/BV1dV4y1G7fF,采紫葳的凌霄子,0,77948,133,2260,9448,0,191,1266
47,吕布 VS 银角大王,https://www.bilibili.com/video/BV1Zv4y1S7Jd,闲人1943,0,76977,197,792,7113,0,291,779
48,“素材而已，怎么也会让人怀念呢”,https://www.bilibili.com/video/BV1d8411Y7fJ,天气温云,0,2027844,19452,180266,492030,0,14643,167300
49,⚡每天一遍，家长升天⚡,https://www.bilibili.com/video/BV1924y1X7k4,伊丽莎白鼠,0,8715732,6499,231355,1251892,0,110299,230627
50,🐓鸡你太美，但是二次元🐓,https://www.bilibili.com/video/BV19f4y1f7oj,红豆稀饭中,0,13237282,34274,467028,1036542,0,235998,393496
51,【鬼畜电影】熊出没之熊心归去（79分钟完整版）,https://www.bilibili.com/video/BV1Ae4y167UD,代号穿山甲,0,1253752,18439,83735,134288,0,16953,86519
52,宝 神,https://www.bilibili.com/video/BV1Ne4y1m7hE,时空木石丶,0,58456,260,2307,5509,0,441,995
53,“骂的就是你，进来照镜子！！！”,https://www.bilibili.com/video/BV1jd4y1c7EQ,惜缘、过去,0,43641,73,2291,7516,0,368,1286
54,⚡河北第一女rapper⚡,https://www.bilibili.com/video/BV1L14y15758,污污云,0,202032,257,3791,18091,0,3331,5528
55,孙子，你真牛波一,https://www.bilibili.com/video/BV1Ge4y1e7Q3,昔日友人,0,580565,256,6919,49095,0,9567,14753
56,健什么身，来攻沙啊,https://www.bilibili.com/video/BV1yK411S7Qq,暂离二度,0,3198381,1797,62478,204874,0,22922,44963
57,师 徒 反 目,https://www.bilibili.com/video/BV1WG411A73Z,怠惰的一休,0,84986,35,399,2629,0,37,370
58,⚡️🐔听 干 嘛 的 话🐔⚡️2.0 版 本（完整版）,https://www.bilibili.com/video/BV1ke4y147JG,-氮磷钾-,0,112157,190,2687,10098,0,1312,3990
59,全世界都在穿切尔西👞,https://www.bilibili.com/video/BV1Z8411a7Ew,琸镯酌,0,68958,118,494,4613,0,318,828
60,⚡08在油田搞批发⚡,https://www.bilibili.com/video/BV18W4y1j7Lj,藏三造紫浓_DoubleX,0,60843,44,1769,4191,0,132,522
61,纳西妲世界第一可爱？,https://www.bilibili.com/video/BV1YP411P7bn,圣剑少女の爱,0,51497,56,869,9609,0,158,1123
62,【鬼畜Rap】复兴鬼畜，我辈义不容辞！,https://www.bilibili.com/video/BV1y8411a7Nf,拿破轮教授,0,35547,325,1771,4304,0,200,1603
63,上单“质检”大会,https://www.bilibili.com/video/BV1iK411D7K2,极致快乐的小坊沐,0,411951,342,3617,27171,0,2119,3234
64,“名为沈阳大街的梦，该醒了”,https://www.bilibili.com/video/BV1Ue4y1m7kZ,唐啵腐,0,97494,369,2202,20541,0,777,7317
65,终 🐔 第 一 杀 人 王,https://www.bilibili.com/video/BV1Ve4y1q7VG,老实人张精贵,0,3118280,5854,77099,185302,0,74713,48771
66,【炫神】It's My Life,https://www.bilibili.com/video/BV1Hd4y1C7NV,泷子丶,0,38810,66,1740,3160,0,605,909
67,臣妾要告发太后私通,https://www.bilibili.com/video/BV1qe4y147We,糖渍大蒜头,0,62584,56,120,3848,0,384,375
68,“他又在荧前石乐志”,https://www.bilibili.com/video/BV1vd4y1k7rH,月落星不落,0,29252,287,3097,4109,0,256,718
69,⚡失 眠 飞“彳亍”⚡,https://www.bilibili.com/video/BV1L8411Y77G,冷瓜总是那么慵懒,0,45112,173,1501,3707,0,103,622
70,着急下班的王大队长,https://www.bilibili.com/video/BV1Dt4y1u7Hr,小鸟游呆毛,0,74792,132,587,6903,0,138,1761
71,皇 室 战 争,https://www.bilibili.com/video/BV1de4y1E7LV,开普勒第SI定律,0,826374,914,5997,50026,0,3173,12107
72,《One Last 🐔》,https://www.bilibili.com/video/BV19D4y1t785,KM二号,0,542799,368,4557,54795,0,5927,12059
73,Mood 汉化Mod,https://www.bilibili.com/video/BV15g411a7Mv,TØm,0,863506,482,16454,67009,0,12596,16616
74,海 军 小 纵 队 和 high 棉,https://www.bilibili.com/video/BV18d4y117mT,我叫小渔人,0,318490,1665,4509,43115,0,2651,14648
75,我肯定在几百年前就很有骨气,https://www.bilibili.com/video/BV1284y1q7G5,霹雳蓝猫,0,1045275,1107,14110,95529,0,4484,21225
76,生 日 快 乐 — 纳 只因 妲,https://www.bilibili.com/video/BV13m4y1c7T9,骞尊魔王,0,72851,199,551,4477,0,1644,1137
77,马丽！露出鸡脚了吧！,https://www.bilibili.com/video/BV1He4y1q7NC,倒悬的橘子,0,2934372,1112,27013,191067,0,6478,23743
78,【异灵术】“我肯定在几百年前就是个菜逼”,https://www.bilibili.com/video/BV18e4y147Ny,我是真的要强,0,41293,44,1372,2763,0,545,423
79,【建议改成】嘻 命 召 唤 19,https://www.bilibili.com/video/BV1tP4y1S72p,乔战狂,0,53717,112,1271,4061,0,800,1566
80,叛 逆 期,https://www.bilibili.com/video/BV1N14y1j7iF,茶咩cc,0,1342751,352,1576,47912,0,2327,7498
